 1|Свёрла по металлу|388||||-|336|norow sale1||, быстрорежущая сталь (HSS), цилиндрический хвостовик|</span><span class="for">Для просверливания отверстий в листовом металле, для сверления легированных и нелегированных углеродистых сталей, цветных металлов, пластика</span><b>Цена за 1 шт.&nbsp;/<span class="blue">&nbsp;упаковку</span>.</b>||/img/pic/drill/small/sverla po metallu.jpg|/img/pic/drill/big/sverla po metallu.jpg
 0|Сверло  2.1      мм HSS MATRIX,                 1 шт.|388|71521-1 |  3,00|  3,00|-|336|
 0|Сверло  2.3      мм HSS MATRIX,                 1 шт.|388|71523-1 |  3,00|  3,00|-|336|
 0|Сверло  2.5х57 мм HAGWERT Dinamic P9M3 фрез.,уп.20 шт|388|566025  |250,00|250,00|-|336|blue
 0|Сверло  2.9      мм HSS MATRIX,                 1 шт.|388|71529-1 |  4,00|  4,00|-|336|
 0|Сверло  3.1      мм HSS MATRIX,                 1 шт.|388|71531-1 |  5,00|  5,00|-|336|
 0|Сверло  3.3      мм HSS СБ,                     1 шт.|388|72233-1 |  6,00|  6,00|-|336|
 0|Сверло  3.4      мм HSS MATRIX,                 1 шт.|388|71534-1 |  6,00|  6,00|-|336|
 0|Сверло  3.6      мм HSS MATRIX,                 1 шт.|388|71536-1 |  6,00|  6,00|-|336|
 0|Сверло  4.3      мм HSS MATRIX,                 1 шт.|388|71543-1 |  8,00|  8,00|-|336|
 0|Сверло  4.4      мм HSS MATRIX,                 1 шт.|388|71544-1 |  8,00|  8,00|-|336|
 0|Сверло  4.6      мм HSS MATRIX,                 1 шт.|388|71546-1 |  9,00|  9,00|-|336|
 0|Сверло  4.7      мм HSS MATRIX,                 1 шт.|388|71547-1 |  9,00|  9,00|-|336|
 0|Сверло  4.8      мм HSS MATRIX,                 1 шт.|388|71548-1 | 11,00| 11,00|-|336|
 0|Сверло  4.8      мм HSS СБ,                     1 шт.|388|72248-1 | 11,00| 11,00|-|336|
 0|Сверло  4.8х86 мм HAGWERT Dinamic P9M3 фрез.,уп.10 шт|388|566048  |250,00|250,00|-|336|blue
 0|Сверло  4.8 х 86 мм HSS BOHRER,                 1 шт.|388|        |  9,00|  9,00|-|336|
 0|Сверло  4.8 х 86 мм RENNBOHR,                   1 шт.|388|650048  | 20,00| 20,00|-|336|
 0|Сверло  6.2      мм HSS MATRIX,                 1 шт.|388|71562-1 | 18,00| 18,00|-|336|blkt2
 0|Сверло  6.5      мм HSS MATRIX,                 1 шт.|388|71565-1 | 20,00| 20,00|-|336|
 0|Сверло  9.0      мм HSS МИР,                    1 шт.|388|71590-1 | 35,00| 35,00|-|336|
 0|Сверло  9.0      мм HSS СБ,                     1 шт.|388|722905-1| 35,00| 35,00|-|336|
 0|Сверло  9.5      мм HSS MATRIX,                 1 шт.|388|71595-1 | 35,00| 35,00|-|336|
 0|Сверло 11.0      мм HSS OPTIM,                  1 шт.|388|361110-1| 50,00| 50,00|-|336|blkt2
 0|Сверло 11.5      мм HSS MATRIX,                 1 шт.|388|72015-1 | 60,00| 60,00|-|336|
 0|Сверло 12.5      мм HSS MATRIX,                 1 шт.|388|72025-1 | 85,00| 85,00|-|336|
 0|Сверло 15.0      мм HSS MATRIX,                 1 шт.|388|72050-1 |120,00|120,00|-|336|
 0|Сверло 15.5      мм HSS MATRIX,                 1 шт.|388|72055-1 |125,00|125,00|-|336|

#1|1 мм|335|1 мм||-|||norow mult2|Свёрла по металлу|, быстрорежущая сталь (HSS), цилиндрический хвостовик|Цена за упаковку.||/img/pic/drill/small/sverla po metallu.jpg|/img/pic/drill/big/sverla po metallu.jpg
#0| 1.0 мм|335| 1.0 мм             | 72210|10|  42
#0| 1.0 мм|335| 1.0 мм полированные| 71510|10|  49
#0| 2.0 мм|335| 2.0 мм             | 72220|10|  42||blkt2
#0| 2.0 мм|335| 2.0 мм полированные| 71520|10|  49
#0| 2.1 мм|335| 2.1 мм полированные| 71521|10|  49
#0| 2.3 мм|335| 2.3 мм полированные| 71523|10|  52
#0| 2.5 мм|335| 2.5 мм             | 72225|10|  44
#0| 2.9 мм|335| 2.9 мм полированные| 71529|10|  58
#0| 3.1 мм|335| 3.1 мм полированные| 71531|10|  58||blkt2
#0| 3.2 мм|335| 3.2 мм             | 72232|10|  55
#0| 3.2 мм|335| 3.2 мм полированные| 71532|10|  62
#0| 3.3 мм|335| 3.3 мм             | 72233|10|  59
#0| 3.3 мм|335| 3.3 мм полированные| 71533|10|  68
