 0|Бур по бетону SDS Max Pro 38 &#215;1000 мм, BERGEN|48|38 &#215;1000 мм|BM381000|      -|      -|      -||blkt2
~0|Бур по бетону SDS Max Pro 40 &#215; 600 мм, BERGEN|48|40 &#215; 600 мм|BM40600 |4150,00|3990,00|      -||blkt
~0|Бур по бетону SDS Max Pro 40 &#215; 800 мм, BERGEN|48|40 &#215; 800 мм|BM40800 |5800,00|5680,00|      -||
~0|Бур по бетону SDS Max Pro 40 &#215;1000 мм, BERGEN|48|40 &#215;1000 мм|BM401000|7100,00|6900,00|      -||
~0|Бур по бетону SDS Max Pro 45 &#215; 600 мм, BERGEN|48|45 &#215; 600 мм|BM45600 |6800,00|6600,00|      -||blkt2
~0|Бур по бетону SDS Max Pro 45 &#215;1000 мм, BERGEN|48|45 &#215;1000 мм|BM451000|8800,00|8500,00|      -||
 0|&nbsp;|48|&nbsp;|&nbsp;|&nbsp;|&nbsp;|&nbsp;||blkt2 empty
 0|&nbsp;|48|&nbsp;|&nbsp;|&nbsp;|&nbsp;|&nbsp;||empty

## 47,cat47|Буры по бетону SDS+ BERGEN !Буры по бетону SDS+ RennBohr Duo !Буры по бетону для перфоратора SDS Plus BERGEN
#1|Буры по бетону для перфоратора SDS Plus            |47|&numsp;5 &#215;&numsp;160 мм|B+05160 |  63,00|  61,00|  60,00||mult2 norow || BERGEN|<strong>Высококачественные буры для профессионального использования</strong><br>Обладают повышенной износоустойчивостью и применяются в работе по бетону, кирпичу и камню||/img/pic/drill/small/BURY SDS PLUS.jpg|/img/pic/drill/big/BURY SDS PLUS.jpg
 1|Буры по бетону для перфоратора SDS Plus            |47|&numsp;5 &#215;&numsp;160 мм|B+05160 |  63,00|  61,00|  60,00||mult2 norow || BERGEN|<strong>Высококачественные буры для профессионального использования</strong><br>Обладают повышенной износоустойчивостью и применяются в работе по бетону, кирпичу и камню||/img/pic/drill/small/Bur_po_betonu_sds_plus_bergen.jpg|/img/pic/drill/big/Bur_po_betonu_sds_plus_bergen.jpg
 0|Бур SDS PLUS&numsp; 5 &#215;&numsp;110 мм, BERGEN ПРО|47|&numsp;5 &#215;&numsp;110 мм|81050110|  89,00|  79,00|-||
 0|Бур SDS PLUS&numsp; 5 &#215;&numsp;160 мм, BERGEN ПРО|47|&numsp;5 &#215;&numsp;160 мм|81050160|  96,00|  87,00|-||
 0|Бур SDS PLUS&numsp; 5 &#215;&numsp;260 мм, BERGEN ПРО|47|&numsp;5 &#215;&numsp;260 мм|81050260| 165,00| 145,00|-||
 0|Бур SDS PLUS&numsp; 6 &#215;&numsp;110 мм, BERGEN ПРО|47|&numsp;6 &#215;&numsp;110 мм| 8106110|  85,00|  77,00|-||blkt2
 0|Бур SDS PLUS&numsp; 6 &#215;&numsp;160 мм, BERGEN ПРО|47|&numsp;6 &#215;&numsp;160 мм| 8106160|  94,00|  89,00|-||
 0|Бур SDS PLUS&numsp; 6 &#215;&numsp;210 мм, BERGEN ПРО|47|&numsp;6 &#215;&numsp;210 мм| 8106210| 122,00| 109,00|-||
 0|Бур SDS PLUS&numsp; 6 &#215;&numsp;260 мм, BERGEN ПРО|47|&numsp;6 &#215;&numsp;260 мм| 8106260| 160,00| 145,00|-||
 0|Бур SDS PLUS&numsp; 6 &#215;&numsp;310 мм, BERGEN ПРО|47|&numsp;6 &#215;&numsp;310 мм| 8106310| 180,00| 165,00|-||
 0|Бур SDS PLUS&numsp; 6 &#215;&numsp;350 мм, BERGEN ПРО|47|&numsp;6 &#215;&numsp;350 мм| 8106350| 188,00| 175,00|-||
 0|Бур SDS PLUS&numsp; 6 &#215;&numsp;410 мм, BERGEN ПРО|47|&numsp;6 &#215;&numsp;410 мм| 8106410| 255,00| 240,00|-||
 0|Бур SDS PLUS&numsp; 6 &#215;&numsp;450 мм, BERGEN ПРО|47|&numsp;6 &#215;&numsp;450 мм| 8106450| 275,00| 255,00|-||
 0|Бур SDS PLUS&numsp; 6 &#215;&numsp;600 мм, BERGEN ПРО|47|&numsp;6 &#215;&numsp;600 мм| 8106600| 350,00| 325,00|-||
 0|Бур SDS PLUS&numsp; 8 &#215;&numsp;110 мм, BERGEN ПРО|47|&numsp;8 &#215;&numsp;110 мм| 8108110|  95,00|  89,00|-||blkt2
 0|Бур SDS PLUS&numsp; 8 &#215;&numsp;160 мм, BERGEN ПРО|47|&numsp;8 &#215;&numsp;160 мм| 8108160| 110,00| 100,00|-||
 0|Бур SDS PLUS&numsp; 8 &#215;&numsp;210 мм, BERGEN ПРО|47|&numsp;8 &#215;&numsp;210 мм| 8108210| 128,00| 122,00|-||
 0|Бур SDS PLUS&numsp; 8 &#215;&numsp;260 мм, BERGEN ПРО|47|&numsp;8 &#215;&numsp;260 мм| 8108260| 160,00| 145,00|-||
 0|Бур SDS PLUS&numsp; 8 &#215;&numsp;310 мм, BERGEN ПРО|47|&numsp;8 &#215;&numsp;310 мм| 8108310| 185,00| 175,00|-||
 0|Бур SDS PLUS&numsp; 8 &#215;&numsp;350 мм, BERGEN ПРО|47|&numsp;8 &#215;&numsp;350 мм| 8108350| 205,00| 190,00|-||
 0|Бур SDS PLUS&numsp; 8 &#215;&numsp;460 мм, BERGEN ПРО|47|&numsp;8 &#215;&numsp;460 мм| 8108460| 330,00| 300,00|-||
 0|Бур SDS PLUS&numsp; 8 &#215;&numsp;600 мм, BERGEN ПРО|47|&numsp;8 &#215;&numsp;600 мм| 8108600| 470,00| 450,00|-||
 0|Бур SDS PLUS       10 &#215;&numsp;110 мм, BERGEN ПРО|47|10       &#215;&numsp;110 мм| 8110110| 110,00| 100,00|-||blkt2
 0|Бур SDS PLUS       10 &#215;&numsp;160 мм, BERGEN ПРО|47|10       &#215;&numsp;160 мм| 8110160| 125,00| 115,00|-||
 0|Бур SDS PLUS       10 &#215;&numsp;210 мм, BERGEN ПРО|47|10       &#215;&numsp;210 мм| 8110210| 145,00| 135,00|-||
 0|Бур SDS PLUS       10 &#215;&numsp;260 мм, BERGEN ПРО|47|10       &#215;&numsp;260 мм| 8110260| 170,00| 160,00|-||
 0|Бур SDS PLUS       10 &#215;&numsp;310 мм, BERGEN ПРО|47|10       &#215;&numsp;310 мм| 8110310| 205,00| 190,00|-||
 0|Бур SDS PLUS       10 &#215;&numsp;350 мм, BERGEN ПРО|47|10       &#215;&numsp;350 мм| 8110350| 215,00| 195,00|-||
 0|Бур SDS PLUS       10 &#215;&numsp;460 мм, BERGEN ПРО|47|10       &#215;&numsp;460 мм| 8110460| 330,00| 300,00|-||
 0|Бур SDS PLUS       10 &#215;&numsp;600 мм, BERGEN ПРО|47|10       &#215;&numsp;600 мм| 8110600| 500,00| 470,00|-||
 0|Бур SDS PLUS       10 &#215;&numsp;800 мм, BERGEN ПРО|47|10       &#215;&numsp;800 мм| 8110800| 830,00| 790,00|-||
 0|Бур SDS PLUS       10 &#215;1000       мм, BERGEN ПРО|47|10       &#215;1000       мм|81101000|1450,00|1385,00|-||
 0|Бур SDS PLUS       12 &#215;&numsp;160 мм, BERGEN ПРО|47|12       &#215;&numsp;160 мм| 8112160| 155,00| 145,00|-||blkt2
 0|Бур SDS PLUS       12 &#215;&numsp;210 мм, BERGEN ПРО|47|12       &#215;&numsp;210 мм| 8112210| 175,00| 165,00|-||
 0|Бур SDS PLUS       12 &#215;&numsp;260 мм, BERGEN ПРО|47|12       &#215;&numsp;260 мм| 8112260| 195,00| 185,00|-||
 0|Бур SDS PLUS       12 &#215;&numsp;310 мм, BERGEN ПРО|47|12       &#215;&numsp;310 мм| 8112310| 215,00| 195,00|-||
 0|Бур SDS PLUS       12 &#215;&numsp;350 мм, BERGEN ПРО|47|12       &#215;&numsp;350 мм| 8112350| 245,00| 225,00|-||
 0|Бур SDS PLUS       12 &#215;&numsp;460 мм, BERGEN ПРО|47|12       &#215;&numsp;460 мм| 8112460| 340,00| 320,00|-||
 0|Бур SDS PLUS       12 &#215;&numsp;600 мм, BERGEN ПРО|47|12       &#215;&numsp;600 мм| 8112600| 540,00| 510,00|-||
 0|Бур SDS PLUS       12 &#215;&numsp;800 мм, BERGEN ПРО|47|12       &#215;&numsp;800 мм| 8112800| 860,00| 820,00|-||
 0|Бур SDS PLUS       12 &#215;1000       мм, BERGEN ПРО|47|12       &#215;1000       мм|81121000|1015,00| 980,00|-||
 1|Бур                                                  |47|14                          |        | 155,00| 145,00|-||mult2 next norow |
 0|Бур SDS PLUS       14 &#215;&numsp;160 мм, BERGEN ПРО|47|14       &#215;&numsp;160 мм| 8114160| 177,00| 170,00|-||
 0|Бур SDS PLUS       14 &#215;&numsp;210 мм, BERGEN ПРО|47|14       &#215;&numsp;210 мм| 8114210| 215,00| 195,00|-||
 0|Бур SDS PLUS       14 &#215;&numsp;260 мм, BERGEN ПРО|47|14       &#215;&numsp;260 мм| 8114260| 235,00| 225,00|-||
 0|Бур SDS PLUS       14 &#215;&numsp;310 мм, BERGEN ПРО|47|14       &#215;&numsp;310 мм| 8114310| 265,00| 245,00|-||
 0|Бур SDS PLUS       14 &#215;&numsp;350 мм, BERGEN ПРО|47|14       &#215;&numsp;350 мм| 8114350| 340,00| 300,00|-||
