# [2+51+14+18+45 размер + 3ц А]
# 230,cat230|Свёрла по металлу BERGEN
#1|&nbsp;&nbsp;1.0 мм|230|&#8203;1.0 мм|SMB-0100|  6,90|  6,60|  6,30||allcenter mult2 norow|Свёрла по металлу| BERGEN HSS-TiN DIN 338 /<span class="blue"> BOHRER DIN 338-RN </span>|Спиральные свёрла по металлу с цилиндрическим хвостовиком стандарта <b>DIN 338</b> (аналог <b>ГОСТ 10902-77</b>).</span></p><UL><LI>Изготовлены из быстрорежущей стали (<b>HSS</b>) с покрытием золотистого цвета из нитрида титана (<b>TiN</b>), которое значительно увеличивает срок службы инструмента (в 6 раз по сравнению со сверлами HSS-G).<LI>Титан-нитридное покрытие также уменьшает трение и прилипание материала, обеспечивая легкость реза по металлу и пластику.<LI>Подходит для большинства сортов железа, цветных металлов, легированной и нелегированной стали, кованого чугуна, твердых пластмасс и плексигласа.</UL><p><span class="addt">Цена за 1 шт.||/img/pic/drill/small/smb2v.PNG|/img/pic/drill/big/jpg
 1|&nbsp;&nbsp;1.0 мм|230|&#8203;1.0 мм|SMB-0100|  6,90|  6,60|  6,30||allcenter mult2 norow|Свёрла по металлу| BERGEN HSS-TiN DIN 338|Спиральные свёрла по металлу с цилиндрическим хвостовиком стандарта <b>DIN 338</b> (аналог <b>ГОСТ 10902-77</b>).</span></p><UL><LI>Изготовлены из быстрорежущей стали (<b>HSS</b>) с покрытием золотистого цвета из нитрида титана (<b>TiN</b>), которое значительно увеличивает срок службы инструмента (в 6 раз по сравнению со сверлами HSS-G).<LI>Титан-нитридное покрытие также уменьшает трение и прилипание материала, обеспечивая легкость реза по металлу и пластику.<LI>Подходит для большинства сортов железа, цветных металлов, легированной и нелегированной стали, кованого чугуна, твердых пластмасс и плексигласа.</UL><p><span class="addt">Цена за 1 шт.||/img/pic/drill/small/SVERLA PO METALLU BERGEN.jpg|/img/pic/drill/big/SVERLA PO METALLU BERGEN.jpg
 0|Сверло по металлу BERGEN 14.0 мм      |230|14.0 мм      |SMB-1400|177,00|173,00|171,00||
 0|Сверло по металлу BERGEN 15.0 мм      |230|15.0 мм      |SMB-1500|257,00|252,00|246,00||
 0|Сверло по металлу BERGEN 16.0 мм      |230|16.0 мм      |SMB-1600|312,00|318,00|312,00||
 0|Сверло по металлу BERGEN 18.0 мм      |230|18.0 мм      |SMB-1800|379,00|374,00|366,00|
 0|Сверло по металлу BERGEN 20.0 мм      |230|20.0 мм      |SMB-2000|465,00|457,00|444,00|
 0|Сверло по металлу BERGEN 22.0 мм      |230|22.0 мм      |SMB-2200|655,00|648,00|633,00|
 0|&nbsp;|230|&nbsp;|&nbsp;|&nbsp;|&nbsp;|&nbsp;||empty blkt2
 0|&nbsp;|230|&nbsp;|&nbsp;|&nbsp;|&nbsp;|&nbsp;||empty
#0|Сверло по металлу BOHRER &numsp;3.0 мм|230|3.0 мм       |31510030|  8,07|  7,69|  7,57||blue
#0|Сверло по металлу BOHRER &numsp;3.5 мм|230|3.5 мм       |31510035|  8,37|  8,20|  7,88||blue
#0|Сверло по металлу BOHRER &numsp;4.0 мм|230|4.0 мм       |31510040| 14,00| 13,55| 13,25||blue
#0|Сверло по металлу BOHRER &numsp;4.2 мм|230|4.2 мм       |31510042| 12,10| 11,61| 11,42||blue
#0|Сверло по металлу BOHRER &numsp;5.0 мм|230|5.0 мм       |31510050| 14,55| 14,40| 13,93||blue
#0|Сверло по металлу BOHRER &numsp;6.0 мм|230|&#8199;6.0 мм|31510060| 20,37| 19,10| 19,05||blue
#0|Сверло по металлу BOHRER &numsp;8.0 мм|230|&#8199;8.0 мм|31510080| 39,83| 38,20| 36,52||blue
#0|Сверло по металлу BOHRER &numsp;8.5 мм|230|&#8199;8.5 мм|31510085| 44,38| 42,16| 41,05||blue
#0|Сверло по металлу BOHRER 10.0 мм      |230|10.0 мм      |31510100| 68,42| 62,97| 61,56||blue
#0|Сверло по металлу BOHRER 12.0 мм      |230|12.0 мм      |31510120|101,10| 97,04| 94,95||blue

# 416,cat416|Свёрла по металлу, промышленная упаковка !Свёрла по металлу HAGWERT P9M3
 #||/img/pic/drill/small/P9M3.jpg|/img/pic/drill/big/h566032.JPG
 1|Свёрла по металлу HAGWERT P9M3 &#8199;3.2 &#215; &#8199;65 мм (уп. 10 шт.)|416| &#8199;3.2 &#215; &#8199;65 мм (уп. 10 шт.)|      | 269,20| 245,00| 230,40||norow |Свёрла по металлу | HAGWERT Dinamic P9M3 фрезерованные шлифованные</span><br><span class="title">Промышленная упаковка|</span></p><UL><LI>Сверла спиральные с цилиндрическим хвостовиком изготовлены из быстрорежущей стали P9M3/HSS-G 9341 методом врезного шлифования из цельных заготовок.<LI>Класс точности сверления А1. Угол заточки вершины сверла 118 градусов.<LI>Точное круговое вращение без биения. Высокая стойкость к излому.<LI>Для работы по легированным и нелегированным углеродистым сталям, цветным металлам, пластикам.</UL><p><span class="addt"><b>Цена за упаковку.</b>||/img/pic/drill/small/SVERLA PROMUPAKOVKA.jpg|/img/pic/drill/big/SVERLA PROMUPAKOVKA.jpg
 0|Свёрла по металлу HAGWERT P9M3 &#8199;1.5 &#215; &#8199;40 мм (уп. 20 шт.)|416| &#8199;1.5 &#215; &#8199;40 мм (уп. 20 шт.)|566015| 288,00| 276,00| 269,00
 0|Свёрла по металлу HAGWERT P9M3 &#8199;2.0 &#215; &#8199;49 мм (уп. 20 шт.)|416| &#8199;2.0 &#215; &#8199;49 мм (уп. 20 шт.)|566020| 288,00| 276,00| 269,00
 0|Свёрла по металлу HAGWERT P9M3 &#8199;2.5 &#215; &#8199;57 мм (уп. 20 шт.)|416| &#8199;2.5 &#215; &#8199;57 мм (уп. 20 шт.)|566025| 288,00| 276,00| 269,00
 0|Свёрла по металлу HAGWERT P9M3 &#8199;3.0 &#215; &#8199;61 мм (уп. 20 шт.)|416| &#8199;3.0 &#215; &#8199;61 мм (уп. 20 шт.)|566030| 365,00| 352,00| 344,00
 0|Свёрла по металлу HAGWERT P9M3 &#8199;3.2 &#215; &#8199;65 мм (уп. 10 шт.)|416| &#8199;3.2 &#215; &#8199;65 мм (уп. 10 шт.)|566032| 228,00| 221,00| 216,00
 0|Свёрла по металлу HAGWERT P9M3 &#8199;3.5 &#215; &#8199;70 мм (уп. 10 шт.)|416| &#8199;3.5 &#215; &#8199;70 мм (уп. 10 шт.)|566035| 228,00| 221,00| 216,00
 0|Свёрла по металлу HAGWERT P9M3 &#8199;4.0 &#215; &#8199;75 мм (уп. 10 шт.)|416| &#8199;4.0 &#215; &#8199;75 мм (уп. 10 шт.)|566040| 335,00| 325,00| 315,00
 0|Свёрла по металлу HAGWERT P9M3 &#8199;4.2 &#215; &#8199;75 мм (уп. 10 шт.)|416| &#8199;4.2 &#215; &#8199;75 мм (уп. 10 шт.)|566042| 398,00| 382,00| 373,00
 0|Свёрла по металлу HAGWERT P9M3 &#8199;4.5 &#215; &#8199;80 мм (уп. 10 шт.)|416| &#8199;4.5 &#215; &#8199;80 мм (уп. 10 шт.)|566045| 405,00| 395,00| 382,00
 0|Свёрла по металлу HAGWERT P9M3 &#8199;4.8 &#215; &#8199;86 мм (уп. 10 шт.)|416| &#8199;4.8 &#215; &#8199;86 мм (уп. 10 шт.)|566048| 459,00| 445,00| 435,00
 0|Свёрла по металлу HAGWERT P9M3 &#8199;5.0 &#215; &#8199;86 мм (уп. 10 шт.)|416| &#8199;5.0 &#215; &#8199;86 мм (уп. 10 шт.)|566050| 489,00| 472,00| 462,00
 0|Свёрла по металлу HAGWERT P9M3 &#8199;5.5 &#215; &#8199;93 мм (уп. 10 шт.)|416| &#8199;5.5 &#215; &#8199;93 мм (уп. 10 шт.)|566055| 578,00| 562,00| 552,00
 0|Свёрла по металлу HAGWERT P9M3 &#8199;6.0 &#215; &#8199;93 мм (уп. 10 шт.)|416| &#8199;6.0 &#215; &#8199;93 мм (уп. 10 шт.)|566060| 688,00| 672,00| 663,00
 0|Свёрла по металлу HAGWERT P9M3 &#8199;7.0 &#215;       109 мм (уп. 10 шт.)|416| &#8199;7.0 &#215;       109 мм (уп. 10 шт.)|566070| 755,00| 740,00| 725,00
 0|Свёрла по металлу HAGWERT P9M3 &#8199;8.0 &#215;       117 мм (уп. 10 шт.)|416| &#8199;8.0 &#215;       117 мм (уп. 10 шт.)|566080| 935,00| 920,00| 900,00
 0|Свёрла по металлу HAGWERT P9M3 &#8199;9.0 &#215;       125 мм (уп. 10 шт.)|416| &#8199;9.0 &#215;       125 мм (уп. 10 шт.)|566090|1245,00|1220,00|1198,00
 0|Свёрла по металлу HAGWERT P9M3       10.0 &#215;       133 мм (уп. 10 шт.)|416|       10.0 &#215;       133 мм (уп. 10 шт.)|566100|1620,00|1598,00|1565,00
