# 504,cat504|Смазка для буров
#1|Смазка для буров|504|196804-7|209|204|198||norow|| Makita 196804-7, 100&thinsp;г (95&thinsp;мл) <span class=art>арт. 196804-7</span>|Предназначена для нанесения на хвостовик бура (долота, зубила и т.п.) перед установкой в перфоратор или отбойный молоток.</span></p><UL><LI>снижает температуру и износ деталей<LI>уменьшает попадание пыли внутрь инструмента<LI>продлевает срок службы инструмента</UL><p><span class="addt">||/img/pic/drill/small/m196804-7.jpg|/img/pic/drill/big/m196804-7.jpg
#0|Смазка для буров|504|196804-7|209|204|198||

# 357,cat357|Буры Проломные для перфоратора SDS Max BERGEN
1|Бур SDS Max 10 &#215; 400                    |357|BPR456| 5690| 5620| 5555||norow|Буры проломные для перфоратора SDS Max| BERGEN|Буры проломные используются для просверливания отверстий больших диаметров и для проделывания проемов в твердых материалах (бетон, кирпич, камень и т.п.)||/img/pic/drill/small/BUR PROLOMNOY.jpg|/img/pic/drill/big/BUR PROLOMNOY.jpg
0|Бур SDS Max BERGEN проломной 45 &#215; 600 мм|357|BPR456| 5690| 5620| 5555||
0|Бур SDS Max BERGEN проломной 45 &#215;1000 мм|357|BPR451| 6990| 6920| 6850||
0|Бур SDS Max BERGEN проломной 55 &#215; 600 мм|357|BPR556| 5990| 5920| 5860||blkt2
0|Бур SDS Max BERGEN проломной 55 &#215;1000 мм|357|BPR551| 7920| 7860| 7780||
0|Бур SDS Max BERGEN проломной 68 &#215; 400 мм|357|BPR684| 6390| 6310| 6230||blkt2
0|Бур SDS Max BERGEN проломной 68 &#215; 600 мм|357|BPR686| 7590| 7510| 7440||
0|Бур SDS Max BERGEN проломной 68 &#215; 800 мм|357|BPR688| 9390| 9310| 9240||
0|Бур SDS Max BERGEN проломной 68 &#215;1000 мм|357|BPR681|10390|10290|10120||
0|Бур SDS Max BERGEN проломной 80 &#215; 600 мм|357|BPR806| 9550| 9470| 9360|| blkt2
0|Бур SDS Max BERGEN проломной 80 &#215;1000 мм|357|BPR801|12350|12230|12120||

# [2+51+14+18+45 размер + 3ц А]
# 48,cat48|Буры BERGEN Max
 1|Бур по бетону SDS Max 10 &#215; 310 мм, BERGEN|48|10 &#215; 310 мм|BM10400 | 439,00| 425,00| 416,00||blue norow mult2|Буры по бетону для перфоратора SDS Max| BERGEN|||/img/pic/drill/small/BURY SDS MAX.jpg|/img/pic/drill/big/BURY SDS MAX.jpg
 0|Бур по бетону SDS Max 26 &#215; 400 мм, BERGEN|48|26 &#215; 400 мм|BM26400 | 829,92| 815,36| 802,88||blkt2
 0|Бур по бетону SDS Max 26 &#215; 600 мм, BERGEN|48|26 &#215; 600 мм|BM26600 |1037,92|1016,08|1000,48||
 0|Бур по бетону SDS Max 26 &#215;1000 мм, BERGEN|48|26 &#215;1000 мм|BM261000|1973,92|2043,60|2012,40||
 0|Бур по бетону SDS Max 28 &#215; 400 мм, BERGEN|48|28 &#215; 400 мм|BM28400 | 962,00| 946,40| 933,92||blkt2
 0|Бур по бетону SDS Max 28 &#215; 600 мм, BERGEN|48|28 &#215; 600 мм|BM28600 |1170,00|1154,40|1133,60||
 0|Бур по бетону SDS Max 28 &#215; 800 мм, BERGEN|48|28 &#215; 800 мм|BM28800 |1482,00|1466,40|1443,52||
 0|Бур по бетону SDS Max 28 &#215;1000 мм, BERGEN|48|28 &#215;1000 мм|BM281000|2285,92|2251,60|2210,00||
 0|Бур по бетону SDS Max 30 &#215; 400 мм, BERGEN|48|30 &#215; 400 мм|BM30400 |1141,92|1107,60|1086,80||blkt
 0|Бур по бетону SDS Max 30 &#215; 600 мм, BERGEN|48|30 &#215; 600 мм|BM30600 |1349,92|1315,60|1288,56||
 0|Бур по бетону SDS Max 30 &#215; 800 мм, BERGEN|48|30 &#215; 800 мм|BM30800 |2210,00|2181,92|2126,80||
 0|Бур по бетону SDS Max 30 &#215;1000 мм, BERGEN|48|30 &#215;1000 мм|BM301000|2493,92|2449,20|2407,60||
 0|Бур по бетону SDS Max 32 &#215; 400 мм, BERGEN|48|32 &#215; 400 мм|BM32400 |1388,40|1362,40|1339,52||blkt2
 0|Бур по бетону SDS Max 32 &#215; 600 мм, BERGEN|48|32 &#215; 600 мм|BM32600 |1557,92|1523,60|1492,40||
 0|Бур по бетону SDS Max 32 &#215; 800 мм, BERGEN|48|32 &#215; 800 мм|BM32800 |2493,92|2449,20|2418,00||
 0|Бур по бетону SDS Max 32 &#215;1000 мм, BERGEN|48|32 &#215;1000 мм|BM321000|2730,00|2693,60|2657,20||
 0|Бур по бетону SDS Max 35 &#215; 400 мм, BERGEN|48|35 &#215; 400 мм|BM35400 |1783,60|1765,92|1736,80||blkt2
 0|Бур по бетону SDS Max 35 &#215; 600 мм, BERGEN|48|35 &#215; 600 мм|BM35600 |2002,00|1981,20|1963,52||
 0|Бур по бетону SDS Max 35 &#215; 800 мм, BERGEN|48|35 &#215; 800 мм|BM35800 |2995,20|2958,80|2909,92||
 0|Бур по бетону SDS Max 35 &#215;1000 мм, BERGEN|48|35 &#215;1000 мм|BM351000|3499,60|3466,32|3419,52||
 0|Бур по бетону SDS Max 38 &#215;1000 мм, BERGEN|48|38 &#215;1000 мм|BM381000|4290,00|4258,80|4186,00||blkt2
 0|Бур по бетону SDS Max 40 &#215; 600 мм, BERGEN|48|40 &#215; 600 мм|BM40600 |2805,92|2750,80|2701,92||blkt
 0|Бур по бетону SDS Max 40 &#215; 800 мм, BERGEN|48|40 &#215; 800 мм|BM40800 |3874,00|3842,80|3780,40||
 0|Бур по бетону SDS Max 40 &#215;1000 мм, BERGEN|48|40 &#215;1000 мм|BM401000|4781,92|4716,40|4677,92||
 0|Бур по бетону SDS Max 45 &#215; 600 мм, BERGEN|48|45 &#215; 600 мм|BM45600 |4573,92|4529,20|4482,40||blkt2
 0|Бур по бетону SDS Max 45 &#215;1000 мм, BERGEN|48|45 &#215;1000 мм|BM451000|5925,92|5904,08|5839,60||

# 47,cat47|Буры по бетону для перфоратора SDS Plus BERGEN
 1|Бур SDS PLUS &numsp;5 &#215;&numsp;160 мм, BERGEN  |47|&numsp;5 &#215;&numsp;160 мм|B+05160 |  65,67|  63,52|  61,82||mult2 norow |Буры по бетону для перфоратора SDS Plus| BERGEN|||/img/pic/drill/small/BURY SDS PLUS.jpg|/img/pic/drill/big/BURY SDS PLUS.jpg
 0|Бур SDS PLUS &numsp;5 &#215;&numsp;160 мм, BERGEN  |47|&numsp;5 &#215;&numsp;160 мм|B+05160 |  55,24|  53,23|  52,23|
 0|Бур SDS PLUS &numsp;5 &#215;&numsp;260 мм, BERGEN  |47|&numsp;5 &#215;&numsp;260 мм|B+05260 |  94,41|  92,40|  90,40|
 0|Бур SDS PLUS &numsp;6 &#215;&numsp;110 мм, BERGEN  |47|&numsp;6 &#215;&numsp;110 мм|B+06110 |  52,23|  51,22|  49,22||blkt2
 0|Бур SDS PLUS &numsp;6 &#215;&numsp;160 мм, BERGEN  |47|&numsp;6 &#215;&numsp;160 мм|B+06160 |  58,26|  56,25|  54,24|
 0|Бур SDS PLUS &numsp;6 &#215;&numsp;210 мм, BERGEN  |47|&numsp;6 &#215;&numsp;210 мм|B+06210 |  69,30|  66,29|  64,28|
 0|Бур SDS PLUS &numsp;6 &#215;&numsp;260 мм, BERGEN  |47|&numsp;6 &#215;&numsp;260 мм|B+06260 |  94,41|  92,40|  90,40|
 0|Бур SDS PLUS &numsp;6 &#215;&numsp;310 мм, BERGEN  |47|&numsp;6 &#215;&numsp;310 мм|B+06310 | 108,48| 104,46| 101,44|
 0|Бур SDS PLUS &numsp;6 &#215;&numsp;350 мм, BERGEN  |47|&numsp;6 &#215;&numsp;350 мм|B+06350 | 115,51| 113,50| 111,49|
 0|Бур SDS PLUS &numsp;6 &#215;&numsp;450 мм, BERGEN  |47|&numsp;6 &#215;&numsp;450 мм|B+06450 | 165,73| 162,71| 160,70|
 0|Бур SDS PLUS &numsp;6 &#215;&numsp;600 мм, BERGEN  |47|&numsp;6 &#215;&numsp;600 мм|B+06600 | 209,92| 204,90| 201,88|
 0|Бур SDS PLUS &numsp;8 &#215;&numsp;110 мм, BERGEN  |47|&numsp;8 &#215;&numsp;110 мм|B+08110 |  58,26|  56,25|  54,24||blkt2
 0|Бур SDS PLUS &numsp;8 &#215;&numsp;160 мм, BERGEN  |47|&numsp;8 &#215;&numsp;160 мм|B+08160 |  67,29|  65,29|  64,28|
 0|Бур SDS PLUS &numsp;8 &#215;&numsp;210 мм, BERGEN  |47|&numsp;8 &#215;&numsp;210 мм|B+08210 |  75,33|  73,32|  71,31|
 0|Бур SDS PLUS &numsp;8 &#215;&numsp;260 мм, BERGEN  |47|&numsp;8 &#215;&numsp;260 мм|B+08260 |  94,41|  92,40|  90,40|
 0|Бур SDS PLUS &numsp;8 &#215;&numsp;310 мм, BERGEN  |47|&numsp;8 &#215;&numsp;310 мм|B+08310 | 108,48| 104,46| 101,44|
 0|Бур SDS PLUS &numsp;8 &#215;&numsp;350 мм, BERGEN  |47|&numsp;8 &#215;&numsp;350 мм|B+08350 | 127,56| 124,55| 121,53|
 0|Бур SDS PLUS &numsp;8 &#215;&numsp;460 мм, BERGEN  |47|&numsp;8 &#215;&numsp;460 мм|B+08450 | 195,86| 191,84| 188,83|
 0|Бур SDS PLUS &numsp;8 &#215;&numsp;600 мм, BERGEN  |47|&numsp;8 &#215;&numsp;600 мм|B+08600 | 280,23| 273,20| 268,17|
 0|Бур SDS PLUS 10       &#215;&numsp;110 мм, BERGEN  |47|10       &#215;&numsp;110 мм|B+10110 |  66,29|  63,28|  61,27||blkt
 0|Бур SDS PLUS 10       &#215;&numsp;160 мм, BERGEN  |47|10       &#215;&numsp;160 мм|B+10160 |  75,33|  72,32|  70,31|
 0|Бур SDS PLUS 10       &#215;&numsp;210 мм, BERGEN  |47|10       &#215;&numsp;210 мм|B+10210 |  89,39|  85,37|  82,36|
 0|Бур SDS PLUS 10       &#215;&numsp;260 мм, BERGEN  |47|10       &#215;&numsp;260 мм|B+10260 | 108,48| 104,46| 101,44|
 0|Бур SDS PLUS 10       &#215;&numsp;310 мм, BERGEN  |47|10       &#215;&numsp;310 мм|B+10310 | 127,56| 124,55| 121,53|
 0|Бур SDS PLUS 10       &#215;&numsp;350 мм, BERGEN  |47|10       &#215;&numsp;350 мм|B+10350 | 133,59| 131,58| 128,56|
 0|Бур SDS PLUS 10       &#215;&numsp;460 мм, BERGEN  |47|10       &#215;&numsp;460 мм|B+10460 | 209,92| 205,90| 201,88|
 0|Бур SDS PLUS 10       &#215;&numsp;600 мм, BERGEN  |47|10       &#215;&numsp;600 мм|B+10600 | 326,43| 316,39| 309,36|
 0|Бур SDS PLUS 10       &#215;&numsp;800 мм, BERGEN  |47|10       &#215;&numsp;800 мм|B+10800 | 527,31| 517,27| 507,22|
