# 302|Буры по бетону для перфоратора SDS Plus DUO (RennBohr, Франция)
 1|Бур по бетону SDS+ Duo RennBohr &numsp;5 &#215; 160 мм|302|&numsp;5 &#215; 160|590611|19|235|341|norow|Буры по бетону для перфоратора SDS+| "Duo" (RennBohr, Франция)|</span></p><UL><LI>Сверло-бур по бетону и камню с хвостовиком SDS plus RennBohr "Duo" имеет напайку повышенной прочности и центрирующий наконечник для точного засверливания.<LI>Угол вершины, приближенный к 180°, усиливает эффект долбления.<LI>Канавка оптимальной глубины и формы с компрессионными и декомпрессионными участками способствуют быстрому выводу шлама.<LI>Усиленная основа предотвращает изгиб бура при попадании в арматуру и других боковых нагрузках.</UL><p><span class="addt">||/img/pic/drill/small/DUO1.JPG|/img/pic/drill/big/DUO2.jpg
 0|Бур по бетону SDS+       24 &#215; &numsp;600 мм EKTO         |311|24       &#215; &numsp;600 мм EKTO         |EK24600  | 10|140,00|
 0|Бур по бетону SDS+       24 &#215; &numsp;600 мм PRORAB       |311|24       &#215; &numsp;600 мм PRORAB       |PR24600  |  5|150,00|
 0|Бур по бетону SDS+       28 &#215; &numsp;600 мм MATRIX       |311|28       &#215; &numsp;600 мм MATRIX       |70966    |  1|170,00|
#0|Бур по бетону SDS+       12 &#215;       1000 мм MATRIX       |311|12       &#215;       1000 мм MATRIX       |70975    |  1|300,00|
#0|Бур по бетону SDS+       14 &#215; &numsp;210 мм SPARTA / LAST|311|14       &#215; &numsp;210 мм SPARTA / LAST|SP14210  |  1| 33,00|
#0|Бур по бетону SDS+       18 &#215; &numsp;300 мм SPARTA / LAST|311|18       &#215; &numsp;300 мм SPARTA / LAST|SP18300  |  4| 70,00|

# 336|Свёрла по металлу
 1|Сверло по металлу &numsp;1.0 мм быстрореж. сталь цил.хв.(10 шт) |336|&numsp;1.0 мм быстрореж. сталь цил.хв.(10 шт) |72210 |   8|  44,00||norow|Свёрла по металлу||</span></p><UL><LI>Быстрорежущая сталь (HSS).<LI>Цилиндрический хвостовик.</UL><p><span class="addt"><br><b>Цена за упаковку.</b>||/img/pic/drill/small/sverla po metallu.jpg|/img/pic/drill/big/sverla po metallu.jpg
 0|Сверло по металлу &numsp;1.0 мм быстрореж. сталь цил.хв.(10 шт) |336|&numsp;1.0 мм быстрореж. сталь цил.хв.(10 шт) |72210 |   8|  44,00|
