1|Герметик силиконовый "ZIGGER" прозрачный 280 мл|176|ZIG-T/ZIG-W|135|130|125|neat|Силиконовый герметик| ZIGGER, 280 мл <span class=art>арт. ZIG-T/ZIG-W</span>|Универсальный силиконовый герметик многостороннего применения.<UL><LI>Не меняет своих свойств от -50 &deg; C до +180 &deg; C<LI>Температура использования от +5 &deg; C до +25 &deg; C<LI>Цвета: ПРОЗРАЧНЫЙ и БЕЛЫЙ.</UL>||/img/pic/foam/small/NEWE_ RU_ SILICONE ZIGGER_BELY I PROZRACHNY.jpg|/img/pic/foam/big/NEWE_ RU_ SILICONE ZIGGER_BELY I PROZRACHNY.jpg

1|Очиститель для монтажной пены|194|CLZ|135|129|125||| "ZIGGER" 500 мл <span class=art>арт. CLZ</span>|||/img/pic/foam/small/OCHISTITEL DLA PENY.jpg|/img/pic/foam/big/OCHISTITEL DLA PENY.jpg
1|Очиститель для монтажной пены|194|01-0-2-021|125|118|110||| "CYCLONE Foam Cleaner" 500 мл <span class=art>арт. 01-0-2-021</span>|||/img/pic/foam/small/OCHISTITEL  CYCLONE.jpg|/img/pic/foam/big/OCHISTITEL  CYCLONE.jpg

#1|Пистолет для монтажной пены|191||420,00|390,00|neat|| YC-19|Пистолет позволяет регулировать напор пены, обеспечивает аккуратное и чистое нанесение ее в зависимости от ширины и глубины заделываемого шва.<UL><LI>очень легкая конструкция из холодоустойчивого пластика<LI>тефлоновый шарик и адаптер с тефлоновым покрытием<LI>разборная конструкция<LI>высокая степень полировки ствола</UL>||/img/pic/foam/small/PISTOLET DLA PENY YC-19 - DLA IKONKI.jpg|/img/pic/foam/big/pistolet YC-19 BIG.jpg
#1|Пистолет для монтажной пены|191||499,00|485,00||| "ЭКСПЕРТ" с тефлоновым напылением|||/img/pic/foam/small/Pistolet dla PENY - EXPERT.jpg|/img/pic/foam/big/Pistolet dla PENY - EXPERT.jpg
#1|Пистолет для монтажной пены|191||790,00|760,00||| "ПРОФИ" стальной корпус|||/img/pic/foam/small/Pistolet dla PENY - PROFI stalnoy korpus.jpg|/img/pic/foam/big/Pistolet dla PENY - PROFI stalnoy korpus.jpg
1|Пистолет для монтажной пены|191||285|275|270|neat|| BLAST <span class=art>арт. BLAST</span>|<UL><LI>Облегченный корпус из алюминиевого сплава.<LI>Регулировочный винт обеспечивает точное и аккуратное нанесение пены.<LI>В комплект входят насадки для увеличения длины и сужения диаметра ствола.<LI>Эргономичная рукоятка из ударопрочного пластика.</UL>||/img/pic/foam/small/blast1.jpg|/img/pic/foam/big/jpg
1|Пистолет для монтажной пены|191||515|500|490|neat|| CYCLONE <span class=art>арт. 01-2-0-163</span>|<UL><LI>Обеспечивает точное и дозированное нанесение пены.<LI>Шарик из нержавеющей стали, регулировочный винт из бронзы.<LI>Рекомендуется применять при больших объемах работ по заделке швов.</UL>||/img/pic/foam/small/pistolet_cyclone_peny.jpg|/img/pic/foam/big/jpg
1|Пистолет для монтажной пены|191|88669|665|645|635||| MATRIX MASTER с тефлоновым покрытием <span class=art>арт. 88669</span>|Профессиональный пистолет. Металлический корпус имеет двухслойное высококачественное тефлоновое покрытие марки DuPont, препятствующее прилипанию пены.||/img/pic/foam/small/PISTOLET DLA PENA MATRIX MASTER.jpg|/img/pic/foam/big/PISTOLET DLA PENA MATRIX MASTER.jpg

#1|Пистолет для герметиков полуоткрытый|192||125,00|118,00||| "MATRIX" Master 310 мл|Хромированный, зубчатый шток 7 мм||/img/pic/foam/small/Pistolet dla GERMETIKOV - MATRIX MASTER.jpg|/img/pic/foam/big/Pistolet dla GERMETIKOV - MATRIX MASTER.jpg
#1|Пистолет для герметиков скелетный усиленный|192||99,00|89,00||| "SPARTA" 310 мл|С фиксатором, 6-гранный шток 6 мм||/img/pic/foam/small/Pistolet dla GERMETIKOV - SPARTA.jpg|/img/pic/foam/big/Pistolet dla GERMETIKOV - SPARTA.jpg
#1|Пистолет для герметиков скелетный усиленный|192||165,00|155,00||| "ЕВРО" STAYER|||/img/pic/foam/small/Pistolet dla GERMETIKOV - STAYER.jpg|/img/pic/foam/big/Pistolet dla GERMETIKOV - STAYER.jpg
#1|Пистолет для герметиков скелетный усиленный|192||135,00|125,00||| "КЕДР"
1|Пистолет для герметиков полуоткрытый|192||85|75|70||| "SPARTA" 310 мл <span class=art>арт. 886365</span>|С фиксатором, круглый шток 8 мм||/img/pic/foam/small/Pistolet dla GERMETIKOV - SPARTA.jpg|/img/pic/foam/big/Pistolet dla GERMETIKOV - SPARTA.jpg
1|Пистолет для герметиков|192||115|105|100||| "CYCLONE" 310 мл <span class=art>арт. 01-2-1-020</span>|||/img/pic/foam/small/Pistolet CYCLONE.jpg|/img/pic/foam/big/Pistolet CYCLONE.jpg
