1|Щетка по металлу 4-рядная|240|19.00|18.00||Щетки ручные по металлу| на деревянной ручке|||/img/pic/strhoz/small/SCHetka po metallu der ruchka.jpg|/img/pic/strhoz/big/SCHetka po metallu der ruchka.jpg
0|Щетка по металлу 5-рядная|240|22.00|21.00
0|Щетка по металлу 6-рядная|240|24.00|22.00

1|Метла веерная|239|73.00|69.00||| № 2 <span class=art>арт. VM2</span>|||/img/pic/strhoz/small/Metla VEERNALA N 2 .jpg|/img/pic/strhoz/big/Metla VEERNALA N 2 .jpg
1|Метла плоская большая|239|76.00|72.00||| № 3 <span class=art>арт. VM3</span>|||/img/pic/strhoz/small/Metla PLOSKAJA N 3.jpg|/img/pic/strhoz/big/Metla PLOSKAJA N 3.jpg
1|Метла круглая большая|239|99.00|94.00||| № 6 <span class=art>арт. VM6</span>|||/img/pic/strhoz/small/Metla KRUGLAJA N 6.jpg|/img/pic/strhoz/big/Metla KRUGLAJA N 6.jpg
1|Черенок для метлы|239|49.00|45.00||| ЕВРО с резьбой|||/img/pic/strhoz/small/cherenok EVRO for metla.jpg|/img/pic/strhoz/big/cherenok EVRO for metla.jpg
1|Метла березовая|239|19.00|18.00||||||/img/pic/strhoz/small/jpg|/img/pic/strhoz/big/jpg
1|Веник сорго|239|66.00|62.00||| "ЛЮКС М"|||/img/pic/strhoz/small/Venik SORGO.jpg|/img/pic/strhoz/big/Venik SORGO.jpg

1|Метла полипропиленовая|-239|75.00|72.00||| круглая|||/img/pic/strhoz/small/metla kruglaya.jpg|/img/pic/strhoz/big/metla kruglaya.jpg
1|Метла полипропиленовая|-239|93.00|89.00||| плоская 200&nbsp;x&nbsp;300&nbsp;мм|||/img/pic/strhoz/small/jpg|/img/pic/strhoz/big/jpg
1|Метла полипропиленовая|-239|99.00|95.00||| плоская распушенная|||/img/pic/strhoz/small/jpg|/img/pic/strhoz/big/jpg

1|Черенок для лопаты|104|25.00|23.00||| 40&nbsp;x&nbsp;1300&nbsp;мм
1|Черенок для грабель|104|25.00|23.00||| 30&nbsp;x&nbsp;1200&nbsp;мм|Для витых грабель.
1|Черенок для метлы и веерных грабель|104|25.00|23.00||| 25&nbsp;x&nbsp;1250&nbsp;мм|Для метел, веерных грабель, щеток
1|Черенок для метлы|104|49.00|45.00||| ЕВРО с резьбой|||/img/pic/strhoz/small/cherenok EVRO for metla.jpg|/img/pic/strhoz/big/cherenok EVRO for metla.jpg
1|Рукоятка для кувалды|104|32.00|29.00||| 400&nbsp;мм
1|Рукоятка для молотка|104|22.00|20.00||| 400&nbsp;мм деревянная

1|Крюк для вязки арматуры|238|395.00|369.00||| автоматический|Легкая конструкция из алюминиевого сплава.||/img/pic/strhoz/small/kruk.jpg|/img/pic/strhoz/big/kruk.jpg

1|Шланг ПВХ армированный 3/4", 15&nbsp;м|103|498.00|449.00||Шланги ПВХ поливочные| <strong>усиленные,&nbsp;армированные</strong>|Цена за 1 шт. с учетом НДС.||/img/pic/strhoz/small/Shlang polivochny.jpg|/img/pic/strhoz/big/Shlang polivochny.jpg
0|Шланг ПВХ армированный 3/4", 30&nbsp;м|103|699.00|679.00
0|Шланг ПВХ армированный 3/4", 50&nbsp;м|103|1290.00|1390.00

1|Лента сигнальная|114|145.00|129.00||| красно-белая 75&nbsp;мм&nbsp;x&nbsp;250&nbsp;м|||/img/pic/strhoz/small/Signalnaja lenta.jpg|/img/pic/strhoz/big/Signalnaja lenta.jpg
1|Лента сигнальная|114|109.00|95.00||| красно-белая 50&nbsp;мм&nbsp;x&nbsp;200&nbsp;м|||/img/pic/strhoz/small/Signalnaja lenta.jpg|/img/pic/strhoz/big/Signalnaja lenta.jpg
1|Лента барьерная|114|75.00|69.00||| 75&nbsp;мм&nbsp;x&nbsp;100&nbsp;м "CYCLONE"|||/img/pic/strhoz/small/Bariernaja lenta CYCLONE.jpg|/img/pic/strhoz/big/Bariernaja lenta CYCLONE.jpg
1|Шнурка строительная|114|27,00|24,00||||||/img/pic/strhoz/small/shnurka stroitelnaja.jpg|/img/pic/strhoz/big/shnurka stroitelnaja.jpg

1|Сетка фасадная|207|3800|3560||| зеленая, в рулонах 4&nbsp;x&nbsp;100&nbsp;м|Сетка для укрытия фасадов, строительных объектов и т.п.<br>Цена за 1 рулон (400 кв.м)||/img/pic/strhoz/small/SETKA FASADNAJA.jpg|/img/pic/strhoz/big/SETKA FASADNAJA.jpg
1|Мешок для мусора|208|6,90|6,50|||, 50&nbsp;кг, полипропиленовый зеленый|Цена за 1 шт.||/img/pic/strhoz/small/garbage.jpg|/img/pic/strhoz/big/garbage.jpg
1|Мешок для мусора|208|6,90|6,20||| ПВД, 120 литров, 40 мкм|Цена за 1 шт.||/img/pic/strhoz/small/jpg|/img/pic/strhoz/big/jpg
1|Пакет для мусора ELFE серый 30 л (упак. 30 шт.)|208|16|15||Пакеты для мусора| ELFE|<br>Цена за упаковку.||/img/pic/strhoz/small/jpg|/img/pic/strhoz/big/jpg
0|Пакет для мусора ELFE серый 30 л (упак. 50 шт.)|208|25|23

1|Изолента ПВХ|177|6,90|6,50||| 15&nbsp;мм синяя, черная, красная, белая, зеленая, желтая|||/img/pic/strhoz/small/IZOLENTA PVH NEW.jpg|/img/pic/strhoz/big/IZOLENTA PVH NEW.jpg
