# 32|Шпильки резьбовые оцинкованная
1| Шпильки длиной 1 метр|32|||||||subhead|Шпилька резьбовая оцинкованная| DIN 975|<abbr title="Предел прочности на растяжение: 400 МПа;&#xa;Относительный предел текучести: 0.8;&#xa;Предельная нагрузка = 400 МПа x 0.8 = 320 МПа.">Класс прочности 4.8</abbr><br><br><b>Цена за 1 шт.</b>||/img/pic/metrkr/small/SHPILKA.jpg|/img/pic/metrkr/big/SHPILKA.jpg
0|Анкерный болт с гайкой       12 &#215;       100 мм|350|AGB12100|0.0882 кг| 9,55| 9,25| 9,10||blkt2
0|Анкерный болт с гайкой       12 &#215;       120 мм|350|AGB12120|0.1112 кг|11,98|11,55|11,10|
0|Анкерный болт с гайкой       12 &#215;       130 мм|350|AGB12130|0.1112 кг|11,98|11,55|11,10|
0|Анкерный болт с гайкой       12 &#215;       150 мм|350|AGB12150|0.1112 кг|13,35|13,20|12,90|
0|Анкерный болт с гайкой       12 &#215;       180 мм|350|AGB12180|0.1112 кг|17,35|16,95|16,45|
0|Анкерный болт с гайкой       12 &#215;       200 мм|350|AGB12200|0.1112 кг|18,45|17,98|17,65|
0|Анкерный болт с гайкой       12 &#215;       220 мм|350|AGB12220|0.1112 кг|21,00|20,50|19,98|
0|Анкерный болт с гайкой       12 &#215;       300 мм|350|AGB12300|0.1112 кг|23,95|22,98|22,25|
0|Анкерный болт с гайкой       16 &#215;       110 мм|350|AGB16110|0.2050 кг|18,90|18,25|17,98||blkt2
0|Анкерный болт с гайкой       16 &#215;       150 мм|350|AGB16150|0.2050 кг|22,95|21,98|21,25|
0|Анкерный болт с гайкой       16 &#215;       180 мм|350|AGB16180|0.2050 кг|28,98|27,98|27,25|
0|Анкерный болт с гайкой       16 &#215;       220 мм|350|AGB16220|0.2050 кг|34,98|31,98|30,98|
0|Анкерный болт с гайкой       16 &#215;       250 мм|350|AGB16250|0.2050 кг|43,98|42,50|41,25|
0|Анкерный болт с гайкой       16 &#215;       300 мм|350|AGB16300|0.2050 кг|49,00|47,60|46,25|
0|Анкерный болт с гайкой       20 &#215;       110 мм|350|AGB20110|0.2050 кг|32,98|31,98|31,25||blkt2
0|Анкерный болт с гайкой       20 &#215;       200 мм|350|AGB20200|0.2050 кг|51,98|50,50|49,00|
0|Анкерный болт с гайкой       20 &#215;       250 мм|350|AGB20250|0.2050 кг|62,00|60,00|58,00|
0|Анкерный болт с гайкой       20 &#215;       300 мм|350|AGB20300|0.2050 кг|72,00|70,00|68,00|

# 351|Анкерный болт с шестигранной головкой
1|Анкерный болт с шестигранной головкой &#8199;8 &#215; &#8199;40 мм|351|AB6-086|0.0163 кг|||||norow|Анкерный болт с шестигранной головкой| оцинкованный|<br>Цена за 1 шт.||/img/pic/metrkr/small/ab6.jpg|/img/pic/metrkr/big/jpg
0|Анкерный болт с шестигранной головкой &#8199;8 &#215; &#8199;60 мм|351|AB6-086|0.0323 кг| 3,78| 3,60| 3,45|
0|Анкерный болт с шестигранной головкой &#8199;8 &#215; &#8199;80 мм|351|AB6-088|0.0323 кг| 4,38| 4,10| 3,98|
