## 62+71+14+18+45 диам. + длины + 3ц
# 548|Болт оцинкованный DIN 933, шестигранная головка, полная резьба
 1|М6 |548||М6 |||||norow mult9|Болт оцинкованный| DIN 933, шестигранная головка, полная резьба|<abbr title="Предел прочности на растяжение: 500 МПа;&#xa;Относительный предел текучести: 0.8;&#xa;Предельная нагрузка = 500 МПа x 0.8 = 400 МПа.">Класс прочности 5.8</abbr>.<br><br><b>Цена за 1 кг.</b>||/img/pic/metrkr/small/Bolt Zn Polnaja rezba.jpg|/img/pic/metrkr/big/Bolt Zn Polnaja rezba.jpg
 0|М6 |548||М6 |||||subhead
 0|Болт 16&times;120 DIN 933, оцинкованный, полная резьба|548||16&times;120|154,85|146,53|138,35
 0|Болт 16&times;130 DIN 933, оцинкованный, полная резьба|548||16&times;130|154,85|146,53|138,35
 0|Болт 16&times;140 DIN 933, оцинкованный, полная резьба|548||16&times;140|154,85|146,53|138,35
 0|Болт 16&times;150 DIN 933, оцинкованный, полная резьба|548||16&times;150|154,85|146,53|138,35
 0|Болт 16&times;200 DIN 933, оцинкованный, полная резьба|548||16&times;200|154,85|146,53|138,35
 1|М18|548||М18|||||mult9 next subhead
 0|Болт 18&times; 60 DIN 933, оцинкованный, полная резьба|548||18&times; 60|154,85|146,53|138,35
 0|Болт 18&times; 75 DIN 933, оцинкованный, полная резьба|548||18&times; 75|154,85|146,53|138,35
 0|Болт 18&times; 80 DIN 933, оцинкованный, полная резьба|548||18&times; 80|154,85|146,53|138,35
 0|Болт 18&times; 85 DIN 933, оцинкованный, полная резьба|548||18&times; 85|154,85|146,53|138,35
 0|Болт 18&times; 90 DIN 933, оцинкованный, полная резьба|548||18&times; 90|154,85|146,53|138,35
 0|Болт 18&times;100 DIN 933, оцинкованный, полная резьба|548||18&times;100|154,85|146,53|138,35
 0|Болт 18&times;110 DIN 933, оцинкованный, полная резьба|548||18&times;110|154,85|146,53|138,35
 0|Болт 18&times;120 DIN 933, оцинкованный, полная резьба|548||18&times;120|154,85|146,53|138,35
 0|Болт 18&times;150 DIN 933, оцинкованный, полная резьба|548||18&times;150|154,85|146,53|138,35
 1|М20|548||М20|||||mult9 next subhead
 0|Болт 20&times; 40 DIN 933, оцинкованный, полная резьба|548||20&times; 40|154,85|146,53|138,35
 0|Болт 20&times; 55 DIN 933, оцинкованный, полная резьба|548||20&times; 55|154,85|146,53|138,35
 0|Болт 20&times; 60 DIN 933, оцинкованный, полная резьба|548||20&times; 60|154,85|146,53|138,35
 0|Болт 20&times; 65 DIN 933, оцинкованный, полная резьба|548||20&times; 65|154,85|146,53|138,35
