## 14|Гвозди строительные
1|Дюбель-гвоздь оцинкованный 3.7 х 30 мм|3|180|150|145|140|||Дюбель-гвозди оцинкованные для монтажного пистолета|. Для крепления к бетонным, кирпичным поверхностям|Упаковка 10, 20 и 25 кг.<br>Цена  за 1 кг.||/img/pic/krep/small/Dubel gv dla pistoleta.jpg|/img/pic/krep/big/Dubel gv dla pistoleta.jpg
0|Дюбель-гвоздь оцинкованный 4.5 х 30 мм|3|180|150|145|140
0|Дюбель-гвоздь оцинкованный 4.5 х 40 мм|3|150|145|140|137
0|Дюбель-гвоздь оцинкованный 4.5 х 50 мм|3|125|145|140|137
0|Дюбель-гвоздь оцинкованный 4.5 х 60 мм|3|110|145|140|137

#1|Дюбель-гвоздь оцинкованный 3.7 х 30 мм; уп.        25 кг       |3|DG3730-|180|139|129| |Дюбель-гвозди оцинкованные для монтажного пистолета|. Для крепления к бетонным, кирпичным повер х ностям|Цена  за 1 кг.||/img/pic/krep/small/Dubel gv dla pistoleta.jpg|/img/pic/krep/big/Dubel gv dla pistoleta.jpg
#0|Дюбель-гвоздь оцинкованный 4.5 х 30 мм; уп. 10 кг, 25 кг       |3|DG4530-|180|139|129
#0|Дюбель-гвоздь оцинкованный 4.5 х 40 мм; уп. 10 кг, 20 кг, 25 кг|3|DG4540-|150|129|122
#0|Дюбель-гвоздь оцинкованный 4.5 х 50 мм; уп. 10 кг, 20 кг, 25 кг|3|DG4550-|125|129|122
#0|Дюбель-гвоздь оцинкованный 4.5 х 60 мм; уп. 10 кг, 20 кг, 25 кг|3|DG4560-|110|129|122

