# 86|Перчатки ХБ с ПВХ и латексным покрытием
#1|Перчатки Х/Б с нанесением ПВХ                      |86|3       |10,90| 9,90| 9,50|  ||| Эконом (3 нитки) <span class=art>арт. 3</span>|Перчатки общего производственного назначения.||/img/pic/defence/small/Perchatki HB s PVH.jpg|/img/pic/defence/big/Perchatki HB s PVH.jpg
 1|Перчатки нитриловый облив             |87|N.3420.10|118,00|115,00|109,00||norow|| 3420 NITRAS, манжет, размер 10 <span class=art>арт. N.3420.10</span>|</span><span class="for">Перчатки трикотажные, полностью облитые нитрилом, синего цвета. Трикотажный манжет</span></p><UL><LI>Основа: хлопчатобумажный трикотаж типа «джерси» с антибактериальной пропиткой <b>Sanitized</b>.<LI>Материал покрытия: трехслойный нитрилбутилдиеновый каучук.<LI>Защита: от механических повреждений, контактов с нефтью и нефтепродуктами. Антистатичны.</UL><p><span class="addt">||/img/pic/defence/small/Nitras03420.jpg|/img/pic/defence/big/Nitras03420.jpg
 0|Перчатки нитриловый облив 3420 NITRAS |87|N.3420.10|118,00|115,00|109,00
 1|Перчатки с нитриловым покрытием            |87|NS-K| 83,00| 81,00| 77,00||norow|| полный облив, на краге      <span class=art>арт. NS-K</span>          |Механически и маслобензостойкие.||/img/pic/defence/small/NITRAS 3440.jpg|/img/pic/defence/big/NITRAS 3440.jpg
 0|Перчатки с нитриловым покрытием, на краге  |87|NS-K| 83,00| 81,00| 77,00
 1|Перчатки с нитриловым покрытием            |87|NS-R| 83,00| 81,00| 77,00||norow|| полный облив, на манжете    <span class=art>арт. NS-R</span>          |Механически и маслобензостойкие.||/img/pic/defence/small/NITRAS 3420.jpg|/img/pic/defence/big/NITRAS 3420.jpg
 0|Перчатки с нитриловым покрытием, на манжете|87|NS-R| 83,00| 81,00| 77,00
#1|Перчатки с нитриловым покрытием|86|1L      |94,00|88,00|85,00|  ||| <span class=art>арт. 1L</span>|Перчатки общего производственного назначения.||/img/pic/defence/small/Perchatki HB ODINARNY LATEX.jpg|/img/pic/defence/big/Perchatki HB ODINARNY LATEX.jpg
#1|Перчатки с нитриловым покрытием|86|2L      |94,00|88,00|84,00|  ||| <span class=art>арт. 2L</span>|Перчатки общего производственного назначения.||/img/pic/defence/small/Perchatki DVOJNOY LATEX.jpg|/img/pic/defence/big/Perchatki DVOJNOY LATEX.jpg

# 88|Общехозяйственные перчатки !Латексные перчатки !Перчатки хозяйственные # и специального назначения
 1|Перчатки виниловые (одноразовые)            |88|             |298,00|292,00|284,00||norow|| HARDY|<br><b>Цена за упаковку 100 пар.</b>||/img/pic/defence/small/1514-890100.jpg|/img/pic/defence/big/1514-890100.jpg
 0|Перчатки виниловые HARDY, размер  L, 100 пар|88|1514-89.01.00|298,00|292,00|284,00
 0|Перчатки виниловые HARDY, размер XL, 100 пар|88|1514-89.01.01|298,00|292,00|284,00
 1|Перчатки латексные                          |88|             | 31,98| 30,98| 29,25||norow|| HOBBI|</span><span class="for">Для защиты рук от вредного воздействия агрессивных веществ при проведении хозяйственных, садово-огородных и прочих работ</span></p><UL><LI>Изготовлены из натурального латекса.<LI>Имеют внутреннее хлопчатобумажное напыление.</UL><p><span class="addt">||/img/pic/defence/small/24-0-004.jpg|/img/pic/defence/big/24-0-004.jpg
 0|Перчатки латексные HOBBI, размер XL, 1 пара |88|24-0-004     | 31,98| 30,98| 29,25
 0|Перчатки латексные HOBBI, размер  L, 50 пар |88|24-0-023     |498,00|484,00|477,00
 0|Перчатки латексные HOBBI, размер XL, 50 пар |88|24-0-024     |498,00|484,00|477,00
#1|Перчатки хозяйственные резиновые            |88|GLH-         | 39,00| 36,00| 35,00||norow sale1|||</span></p><UL><LI>Натуральный латекс.<LI>Подкладка из натурального хлопка.<LI>Рифленая поверхность ладони.</UL><p><span class="addt">||/img/pic/defence/small/PERCHATKI HOZ.jpg|/img/pic/defence/big/PERCHATKI HOZ.jpg
#0|Перчатки хозяйственные резиновые, размер L  |88|GLH-L        | 25,00| 25,00| 25,00
#0|Перчатки хозяйственные резиновые, размер M  |88|GLH-M        | 25,00| 25,00| 25,00
#0|Перчатки хозяйственные резиновые, размер S  |88|GLH-S        | 25,00| 25,00| 25,00
#1|Перчатки хозяйственные          |88|GLH-M   | 39| 36| 35|||| резиновые, размеры:<br>S <span class=art>арт. GLH-S</span><br>M <span class=art>арт. GLH-M</span><br>L <span class=art>арт. GLH-L</span><br>XL <span class=art>арт. GLH-X</span>|Натуральный латекс, подкладка из натурального хлопка, рифленая поверхность ладони.||/img/pic/defence/small/PERCHATKI HOZ.jpg|/img/pic/defence/big/PERCHATKI HOZ.jpg
#1|Перчатки КЩС, тип 1             |88|KS.CS.1 | 89| 85| 82|||| (кислотощелочестойкие) <span class=art>арт. KS.CS.1 </span>|</span></p><UL><LI>Предназначены для защиты рук от растворов кислот и щелочей концентрации до 20%, солей, масел, сыпучих красящих веществ.<LI>Применяются для выполнения точных работ.</UL><p><span class="addt">||/img/pic/defence/small/KSS2.jpg|/img/pic/defence/big/KSS2.jpg
#1|Перчатки КЩС, тип 2             |88|KSS2    | 37| 35| 33|||| (кислотощелочестойкие, тонкие) <span class=art>арт. KSS2</span>|</span></p><UL><LI>Предназначены для защиты рук от растворов кислот и щелочей концентрации до 20%, солей, масел, сыпучих красящих веществ.<LI>Применяются для выполнения точных работ.</UL><p><span class="addt">||/img/pic/defence/small/KSS2.jpg|/img/pic/defence/big/KSS2.jpg
#1|Перчатки химически-стойкие      |88|3470-S09|139|129|125|||| Dual Barrier NITRAS&nbsp;3470, р.&nbsp;9 <span class=art>арт. 3470-S09</span>|</span></p><UL><LI>Повышенная стойкость к кислотам и щелочам концентрацией до 80%, спиртам, жирам, кетонам.<LI>Маслобензостойкость, повышенная механическая прочность.<LI>Рабочая поверхность - неопрен с каучуком (латексом) обеспечивает дополнительное химическое сопротивление.<LI>Внутренняя поверхность - хлопковое напыление.</UL><p><span class="addt">||/img/pic/defence/small/PERCHATKI SPEZ NITRAS - 3470 Dual Barrier.jpg|/img/pic/defence/big/PERCHATKI SPEZ NITRAS - 3470 Dual Barrier.jpg
#1|Перчатки диэлектрические, латекс|88|DE-STAN |215|205|198||||, штанцовые <span class=art>арт. DE-STAN</span>|||/img/pic/defence/small/Perchatki DIELECTRICH .jpg|/img/pic/defence/big/Perchatki DIELECTRICH .jpg
#1|Перчатки диэлектрические, латекс|88|DE-SLESS|295|285|275||||, бесшовные <span class=art>арт. DE-SLESS</span>|||/img/pic/defence/small/Perchatki DIELECTRICH bezshovnye.jpg|/img/pic/defence/big/Perchatki DIELECTRICH bezshovnye.jpg
#1|Перчатки маслобензостойкие      |88|67798/-9|125|118|112|||| латексные <span class=art>арт. 67798/67799</span>|</span></p><UL><LI>Прочный материал, рельефная структура, хлопковое напыление на внутренней части.<LI>Защита от растворов кислот и щелочей (до 40 %) и др. агрессивных сред.<LI>Для работы с нефтепродуктами, садовыми химикатами, при выполнении хозяйственно-бытовых работ.</UL><p><span class="addt">||/img/pic/defence/small/PERCHATKI_ MBS_K.jpg|/img/pic/defence/big/PERCHATKI_ MBS_K.jpg

# 91|Брезентовые Рукавицы
1|Рукавицы Х/Б с брезентовым наладонником        |91|WHB   |31,00|30,00|28,98|||| <span class=art>арт. WHB</span>|||/img/pic/defence/small/RUKOVICY HB S BREZENTOV NALAD.jpg|/img/pic/defence/big/RUKOVICY HB S BREZENTOV NALAD.jpg
1|Рукавицы брезентовые                           |91|WB    |44,00|39,00|38,00|||| <span class=art>арт. WB</span> |||/img/pic/defence/small/RUKOVICY BR S BREZENT NALADONNIKOM.jpg|/img/pic/defence/big/RUKOVICY BR S BREZENT NALADONNIKOM.jpg
1|Рукавицы брезентовые с брезентовым наладонником|91|WBB   |49,00|46,00|44,00|||| <span class=art>арт. WBB</span>|||/img/pic/defence/small/RUKOVICY BR S BREZENT NALADONNIKOM.jpg|/img/pic/defence/big/RUKOVICY BR S BREZENT NALADONNIKOM.jpg
1|Рукавицы утепленные с брезентовым наладонником |91|WU    |62,00|58,00|54,00|90||| <span class=art>арт. WU</span>|||/img/pic/defence/small/RUKAVIZY UTEPLENY S BREZENT NALADONNIKOM.jpg|/img/pic/defence/big/RUKAVIZY UTEPLENY S BREZENT NALADONNIKOM.jpg
1|Рукавицы утепленные с наладонником             |91|DIA   |56,00|52,00|49,00|90||| "Диагональ" <span class=art>арт. DIA</span>|||/img/pic/defence/small/RUKAVIZY UTEPLEN DIAGONAL.jpg|/img/pic/defence/big/RUKAVIZY UTEPLEN DIAGONAL.jpg
1|Рукавицы - краги сварщика                      |91|WELDER|89,00|85,00|82,00|||| брезентовые <strong>огнеупорные</strong> <span class=art>арт. WELDER</span>|||/img/pic/defence/small/KRAGI SVARSHIKA BREZENT - v brezente.jpg|/img/pic/defence/big/KRAGI SVARSHIKA BREZENT - v brezente.jpg
#1|Рукавицы|91||55,00|51|51||| суконные <span class=art>арт. WS</span>|||/img/pic/defence/small/jpg|/img/pic/defence/big/jpg
#1|Вачеги|91||55,00|51|51||| цельнокроеные <span class=art>арт. WCH</span>|||/img/pic/defence/small/jpg|/img/pic/defence/big/jpg

# 382|Рабочие перчатки разного назначения
1|Перчатки комбинированные с фурнитурной кожей|382|1410W|195|188|182|||| NITRAS&nbsp;1410&nbsp;W <span class=art>арт. 1410W</span>|Перчатки комбинированные, утепленные искусственным мехом||/img/pic/defence/small/NITRAS 1410 W - KOZANY UTEPL.jpg|/img/pic/defence/big/NITRAS 1410 W - KOZANY UTEPL.jpg
1|Перчатки зимние трикотажные                 |382|1603W|220|200|195||rp|| NITRAS&nbsp;1603&nbsp;W <span class=art>арт. 1603W</span>|</span></p><UL><LI>Перчатки зимние высококачественные трикотажные<LI>С ворсистым утеплителем, облитые рельефным латексом<LI>Эластичная резинка.</UL><p><span class="addt">||/img/pic/defence/small/NITRAS 1603 W.jpg|/img/pic/defence/big/NITRAS 1603 W.jpg
1|Высококачественные вязаные рабочие перчатки |382|1650 |285|265|250|||| NITRAS&nbsp;1650 <span class=art>арт. 1650</span>|</span></p><UL><LI>без шва<LI><b>с бамбуковым волокном</b><LI>с толстым латексным покрытием на ладони и кончиках пальцев<LI>покрытие &mdash; черный латекс</UL><p><span class="addt">||/img/pic/defence/small/NITRAS 1650.jpg|/img/pic/defence/big/NITRAS 1650.jpg

# 421 -># 90|Перчатки и рукавицы ТЕПЛЫЕ
1|Перчатки комбинированные с фурнитурной кожей       |421|1410W      |195|188|182|90||| NITRAS&nbsp;1410&nbsp;W <span class=art>арт. 1410W</span>|Перчатки комбинированные, утепленные искусственным мехом||/img/pic/defence/small/NITRAS 1410 W - KOZANY UTEPL.jpg|/img/pic/defence/big/NITRAS 1410 W - KOZANY UTEPL.jpg
1|Перчатки зимние трикотажные                        |421|1603W      |220|200|195|90|rp|| NITRAS&nbsp;1603&nbsp;W <span class=art>арт. 1603W</span>|</span></p><UL><LI>Перчатки зимние высококачественные трикотажные<LI>С ворсистым утеплителем, облитые рельефным латексом<LI>Эластичная резинка.</UL><p><span class="addt">||/img/pic/defence/small/NITRAS 1603 W.jpg|/img/pic/defence/big/NITRAS 1603 W.jpg

#####################################
#1|Перчатки полушерстяные с нанесением ПВХ            |90|W2         |47,00|45,00|43,00||| двойные <span class=art>арт. W2</span>|||/img/pic/defence/small/PERCHATKI POLUSHERST S PVH.jpg|/img/pic/defence/big/PERCHATKI POLUSHERST S PVH.jpg
#1|Перчатки спилковые комбинированные                 |90|ANGARA-W01 |235|220|210||| "АНГАРА" СТАНДАРТ утепленные <span class=art>арт. ANGARA-W01</span>|||/img/pic/defence/small/PERCHATKI Spilkovy STANDART.jpg|/img/pic/defence/big/PERCHATKI Spilkovy STANDART.jpg
#1|Перчатки спилковые комбинированные                 |90|1301W      |235|220|210||| NITRAS&nbsp;1301&nbsp;W <span class=art>арт. 1301W</span>|</span></p><UL><LI>Утепленные искусственным мехом</UL><p><span class="addt">||/img/pic/defence/small/NITRAS 1301 W - PERCHATKI SPILK - ZIMA.jpg|/img/pic/defence/big/NITRAS 1301 W - PERCHATKI SPILK - ZIMA.jpg
#1|Перчатки спилковые комбинированные                 |90|1302WI     |235|220|210||| NITRAS&nbsp;1302&nbsp;WI <span class=art>арт. 1302WI</span>|</span></p><UL><LI>Утепленные искусственным мехом<LI>Защита от механических повреждений</UL><p><span class="addt">||/img/pic/defence/small/NITRAS 1302 WI - PERCHATKI - ZIMA.jpg|/img/pic/defence/big/NITRAS 1302 WI - PERCHATKI - ZIMA.jpg
