# 86|Перчатки ХБ с ПВХ и латексным покрытием
#1|Перчатки Х/Б с нанесением ПВХ                      |86|3       |10,90| 9,90| 9,50|  ||| Эконом (3 нитки) <span class=art>арт. 3</span>|Перчатки общего производственного назначения.||/img/pic/defence/small/Perchatki HB s PVH.jpg|/img/pic/defence/big/Perchatki HB s PVH.jpg
#1|Маска сварщика                                     |264|89133   |2490,|50|30||| с автозатемнением MATRIX <span class=art>арт. 89133</span>|</span></p><UL><LI>Время автоматического реагирования 1/25000 сек.<LI>Степень затемнения 9-13 DIN. Задержка затемнения 0,2-1 сек. Регулировка чувствительности датчиков плавная.<LI>Установочные размеры светофильтра 110&nbsp;&#215;&nbsp90&nbsp;&#215;&nbsp9&nbsp;мм. Размер смотрового окна 98&nbsp;&#215;&nbsp43&nbsp;мм. Вес 520&nbsp;г.</UL><p><span class="addt">||/img/pic/defence/small/89133.jpg|/img/pic/defence/big/jpg
#1|Очки&nbsp;газосварщика винтовые|264||295,00|278|272||| ЗН-56 <span class=art>арт. GLASS-3Н-56</span>|||/img/pic/defence/small/vint56.jpg|/img/pic/defence/big/vint56.jpg

# 92|Респираторы
 1|Респиратор                                |92|IS.1F  | 19,95| 19,45| 18,95|586|norow|| "Исток-1Ф" <span class=art>арт. ISK</span>|</span><span class="for">Многослойная фильтрующая полумаска, формованная, для защиты органов дыхания от аэрозолей</span><span class="addt">Класс защиты FFP1 (до 4 ПДК).||/img/pic/defence/small/istok_1F.jpg|/img/pic/defence/big/istok_1F.jpg
 0|Респиратор "Исток-1Ф"                     |92|IS.1F  | 19,95| 19,45| 18,95|586|
 1|Респиратор                                |92|U2K-001| 23,98| 22,98| 21,98|586|norow|| У-2К (зеленый) <span class=art>арт. U2K-001</span>|Защита органов дыхания при выполнении работ средней тяжести.<br>Защищает от пыли и аэрозолей, присутствующих в воздухе||/img/pic/defence/small/U2K respirator.jpg|/img/pic/defence/big/U2K respirator.jpg
 0|Респиратор У-2К (зеленый)                 |92|U2K-001| 23,98| 22,98| 21,98|586|
 1|Респиратор противоаэрозольный             |92|3М8101 | 37,85| 36,95| 34,98|586|norow|| 8101 3М <span class=art>арт. 3М8101</span>|</span><span class="for">Респиратор формованый 3М 8101 без клапана выдоха для защиты органов дыхания от пылей и туманов</span></p><UL><LI>Класс защиты FFP1 (до 4 ПДК).<LI>Может использоваться в условиях повышенных и пониженных температур и при повышенной влажности воздуха.<LI>Мягкая прокладка под носовым зажимом, внутренний слой из гиппоалергенного материала, крепление резинок в 4х точках.</UL><p><span class="addt">||/img/pic/defence/small/Respirator 3M 8101.jpg|/img/pic/defence/big/Respirator 3M 8101.jpg
 0|Респиратор противоаэрозольный 8101 3М     |92|3М8101 | 37,85| 36,95| 34,98|586|
 1|Респиратор противоаэрозольный             |92|3М8102 | 49,45| 47,95| 45,95|586|norow|| 8102 3М <span class=art>арт. 3М8102</span>|</span><span class="for">Респиратор формованый 3М 8102 без клапана выдоха для защиты органов дыхания от пылей и туманов</span></p><UL><LI>Класс защиты FFP2 (до 12 ПДК).<LI>Может использоваться в условиях повышенных и пониженных температур и при повышенной влажности воздуха.<LI>Мягкая прокладка под носовым зажимом, внутренний слой из гиппоалергенного материала, крепление резинок в 4х точках.</UL><p><span class="addt">||/img/pic/defence/small/8102.jpg|/img/pic/defence/big/8102.jpg
 0|Респиратор противоаэрозольный 8102 3М     |92|3М8102 | 49,45| 47,95| 45,95|586|
 1|Респиратор противоаэрозольный             |92|3М8112 | 72,95| 70,95| 68,98|586|norow|| 8112 3М <span class=art>арт. 3М8112</span>|</span><span class="for">Респиратор формованый 3М 8112 эконом серии с клапаном выдоха для защиты органов дыхания от пылей и туманов</span></p><UL><LI>Класс защиты FFP1 (до 4 ПДК).<LI>Может использоваться в условиях повышенных и пониженных температур и при повышенной влажности воздуха.<LI>Удобная чашеобразная форма, внутренний слой из гиппоалергенного материала, крепление резинок в 4х точках.<LI>Запатентованный 3М фильтр Медиа обеспечивает эффективную фильтрацию и легкость дыхания.<LI>Параболический клапан выдоха 3M Cool Flow эффективно отводит тепло и влагу и также обеспечивает легкость дыхания.</UL><p><span class="addt">||/img/pic/defence/small/8112.jpg|/img/pic/defence/big/8112.jpg
 0|Респиратор противоаэрозольный 8112 3М     |92|3М8112 | 72,95| 70,95| 68,98|586|
 1|Респиратор противогазовый                 |92|RPG-A/B|184,00|179,00|175,00|586|norow|| РПГ-67|Применяется в промышленности и в быту:</span></span></p><UL><LI>при проведении лакокрасочных и ремонтных работ;<LI>при работе с удобрениями и ядохимикатами.</UL><p><span class="addt">Обеспечивает защиту до 10-15 ПДК.<br>Комплектуется сменными патронами.||/img/pic/defence/small/RPG67.jpg|/img/pic/defence/big/RPG67.jpg
#0|Респиратор противогазовый класс защиты "A"|92|RPG-A  |184,00|179,00|175,00|586|
 0|Респиратор противогазовый класс защиты "B"|92|RPG-B  |198,00|192,00|188,00|586|
 1|Патрон к респиратору                      |92|P-RPG-B| 52,00| 50,00| 48,00|586|norow|| РПГ-67 <span class=art>арт. P-RPG-B</span>|</span></p><UL><LI>Класс "В" - защита от сернистых газов, хлор- и фосфорсодержащих химикатов</UL><p><span class="addt">||/img/pic/defence/small/rpg67_p.jpg|/img/pic/defence/big/jpg
 0|Патрон к респиратору РПГ-67               |92|P-RPG-B| 52,00| 50,00| 48,00|586|
#1|Респиратор                                |92|ISK    | 22,98| 21,98| 20,98|586|norow ltd|| "Исток-100" (аналог "Кама-200", "Бриз 1101") <span class=art>арт. ISK</span>|Легкая многослойная бесклапанная фильтрующая полумаска с обтюратором, оголовьем и носовым зажимом, имеет пластичный прижимной контур из пенополиуретана и пластмассовый объемный каркас. Защищает от различных видов пыли и аэрозолей, находящихся в воздухе во взвешенном состоянии. Применяется при концентрации пыли до 200 мг/куб.м.||/img/pic/defence/small/istok100.jpg|/img/pic/defence/big/jpg
#0|Респиратор "Исток-100"                    |92|ISK    | 22,98| 21,98| 20,98|586|
#1|Респиратор                                |92|UN.R01 |198,00|194,00|189,00|586|norow|| "Лепесток" UN-IN  <span class=art>арт. UN.R01</span>|Защищает от пыли и аэрозолей, вирусов и бактерий. Используется при работах средней и легкой степени тяжести при температурах не выше +50°С, относительной влажности воздуха до 98% с концентрацией аэрозолей не более 50 мг/куб.м и объемном содержании кислорода не менее 18%.<br><b>Цена за упаковку 50 штук.</b>||/img/pic/defence/small/892205.jpg|/img/pic/defence/big/jpg
#0|Респиратор "Лепесток" UN-IN               |92|UN.R01 |198,00|194,00|189,00|586|
#1|Респиратор                                |92|L50    |188,00|179,00|175,00|||| "Лепесток" с металлическим направляющими <span class=art>арт. L50</span>|Защищает от пыли и аэрозолей, присутствующих в воздухе.<br><b>Цена за упаковку 50 штук.</b>||/img/pic/defence/small/respirator - lepestok.jpg|/img/pic/defence/big/respirator - lepestok.jpg
#1|Респиратор                                |92|L200C  |  9,50|  9,20|  8,90|||| Л-200 ("Лепесток") <span class=art>арт. L200C</span>|Защищает от пыли и аэрозолей, присутствующих в воздухе.||/img/pic/defence/small/jpg|/img/pic/defence/big/jpg
#1|Респиратор                                |92|892215 | 33,00| 31,00| 29,00||norow|| "Лепесток" SPARTA <span class=art>арт. 892205</span>|Защищает от пыли и аэрозолей, вирусов и бактерий. Используется при работах средней и легкой степени тяжести при температурах не выше +50°С, относительной влажности воздуха до 98% с концентрацией аэрозолей не более 50 мг/куб.м и объемном содержании кислорода не менее 18%.<br><b>Цена за упаковку 5 штук.</b>||/img/pic/defence/small/892205.jpg|/img/pic/defence/big/jpg
#0|Респиратор "Лепесток" SPARTA              |92|892215 | 33,00| 31,00| 29,00||
#1|Респиратор противогазовый                 |92|RPG-A/B|195,00|188,00|184,00||norow|| РПГ-67<table cellpadding=0 cellspacing=0 border=0><tr><td>класс защиты "А"<td class=art>арт. RPG-A<tr><td>класс защиты "B"<td class=art>арт. RPG-B</table>|Применяется в промышленности и в быту:</span></span></p><UL><LI>при проведении лакокрасочных и ремонтных работ;<LI>при работе с удобрениями и ядохимикатами.</UL><p><span class="addt">Обеспечивает защиту до 10-15 ПДК.<br>Комплектуется сменными патронами.||/img/pic/defence/small/RPG67.jpg|/img/pic/defence/big/RPG67.jpg
#1|Респиратор|92|RIST-200|11.00|10,00|9.00||| "Исток-200" <span class=art>арт. RIST-200</span>|Легкая многослойная бесклапанная фильтрующая полумаска с обтюратором, оголовьем и носовым зажимом. Защищает от различных видов пыли и аэрозолей, находящихся в воздухе во взвешенном состоянии. Степень защиты: FFP1 (до 4 ПДК).||/img/pic/defence/small/respirator - lepestok.jpg|/img/pic/defence/big/respirator - lepestok.jpg
#1|Патрон к респиратору|92||59|-||| РПГ-67|</span></p><UL><LI>Класс "А" - защита от паров органических веществ, хлор- и фосфорсодержащих химикатов<LI>Класс "В" - защита от сернистых газов, хлор- и фосфорсодержащих химикатов</UL><p><span class="addt">||/img/pic/defence/small/rpg67_p.jpg|/img/pic/defence/big/jpg

# 370|Наушники Беруши
#1|Беруши|370|7800|9,80|9,50|8,90||norow|| Spark Plugs (пара) <span class=art>арт. 7800</span>|</span></p><UL><LI>Сделаны из легкого спресованного полипропилена.<LI>Контурная форма улучшает прилегание к ушному каналу.<LI>SNR (ослабление шума) до 35 дБ (т.е. в 3000 раз).</UL><p><span class="addt">||/img/pic/defence/small/SPARK_Plugs.jpg|/img/pic/defence/big/jpg
#0|Беруши|370|7800|9,80|9,50|8,90
 1|Беруши|370|3M1100|17|16|16||norow|| 3M 1100 (пара) <span class=art>арт. 3M1100</span>|</span></p><UL><LI>Изготовлены из мягкого гипоаллергенного вспененного полиуретана.<LI>Быстро принимают форму наружного слухового канала.<LI>Подходят для продолжительного использования в условиях повышенных температур и влажности.<LI>SNR (ослабление шума) до 37 дБ (т.е. в 5000 раз).</UL><p><span class="addt">||/img/pic/defence/small/3M1100.jpg|/img/pic/defence/big/3M1100.jpg
 0|Беруши|370|3M1100|17|16|16
 1|Наушники противошумные складные       |370|NIS110    |168|162|158||norow|| ИСТОК, 110 дБ <span class=art>арт. NIS110</span>|</span><span class="for">Наушники диэлектрические для защиты органов слуха от шума, не превышаюшего <b>110 Дб</b></span></p><UL><LI>SNR (ослабление шума) <b>25 дБ (т.е. в 320 раз)</b>.<LI>Удобная регулировка оголовья.<LI>Складная диэлектрическая конструкция.</UL><p><span class="addt">||/img/pic/defence/small/NIS110_2.png|/img/pic/defence/big/jpg
 0|Наушники противошумные складные ИСТОК |370|NIS110    |168|162|158
 1|Наушники противошумные складные       |370|N.PUMA.101|219|209|202||norow|| СОЗМ-3 PUMA, 111 дБ <span class=art>арт. N.PUMA.101</span>|</span><span class="for">Наушники диэлектрические для защиты органов слуха от шума, не превышаюшего <b>111 Дб</b></span></p><UL><LI>SNR (ослабление шума) <b>26 дБ (т.е. в 400 раз)</b>.<LI>Инновационная конструкция: тщательно подобранный пористый материал с высокими упругими свойствами обеспечивает постоянство формы амортизаторов в течение срока службы наушников; наушники всегда плотно прилегают к голове.<LI>Выбор высококачественных материалов чашек и звукопоглощающих вкладышей обеспечивает хорошее поглощение шума.<LI>Регулируемая высота ношения обеспечивает оптимальное усилие прижатия наушников к голове.<LI>Регулируемая лента для фиксации на голове обеспечивает комфорт при длительном ношении.</UL><p><span class="addt">||/img/pic/defence/small/n-puma-101.jpg|/img/pic/defence/big/n-puma-101.jpg
 0|Наушники противошумные складные PUMA  |370|N.PUMA.101|219|209|202
#1|Наушники защитные, металлические дужки|370|893575    |265|255|245||norow|| SPARTA <span class=art>арт. 893575</span>|</span></p><UL><LI>Наушники предназначены для защиты органов слуха от производственного шума.<LI>Пластмассовый корпус с мягкими окантовками, не вызывающими дискомфорта.<LI>Металлические, проволочные, закрытые чехлом, регулируемые дужки.<LI>Имеется <a href="/img/pic/defence/big/893575.pdf" target=_blank title="Документ PDF">руководство по эксплуатации</a>.</LI></UL><p><span class="addt">||/img/pic/defence/small/ear893575.png|/img/pic/defence/big/jpg
#0|Наушники защитные, металлические дужки|370|893575    |265|255|245

# 94|Пояс монтажный
#1|Пояс монтажный         |94|US2AG|795|780|765|||| УС 2 АЖ (ПП-2 АЖ) <span class=art>арт. US2AG</span>|Универсальная страховочно-удерживающая привязь с наплечными и набедренными лямками, со стропом. Имеет три точки крепления стропа: две для работы в режиме опоры и одна для страховки. Создает мягкое распределение нагрузок и полную защиту при работе на высоте.</span></p><UL><LI>Регулировка ремня от 740 до 1440 мм (размер пояса от S до L).<LI>Длина стропа: 1,45 м.<LI>Статическая разрывная нагрузка: не менее 1 500 кг.<LI>Вес со стропом: не превышает 1,6 кг.</UL><p><span class="addt">||/img/pic/defence/small/US2G.jpg|/img/pic/defence/big/US2G.jpg
1|Пояс монтажный с лентой|94|PP1A |565|545|533|||| ПП-1А  <span class=art>арт. PP1A</span>|||/img/pic/defence/small/pp1a.jpg|/img/pic/defence/big/pp1a.jpg
1|Пояс монтажный с цепью |94|PP1G |585|565|555|||| ПП-1Г  <span class=art>арт. PP1G</span>|||/img/pic/defence/small/pp1g.jpg|/img/pic/defence/big/pp1g.jpg
#1|Пояс монтажный         |94|US2G|795|770|750|||| УС 2 Ж <span class=art>арт. US2G</span>|Универсальная страховочно-удерживающая привязь с наплечными и набедренными лямками, без стропа. Имеет три точки крепления стропа: две для работы в режиме опоры и одна для страховки. Создает мягкое распределение нагрузок и полную защиту при работе на высоте.</span></p><UL><LI>Регулировка ремня от 740 до 1440 мм (размер пояса от S до L).<LI>Статическая разрывная нагрузка: не менее 1 500 кг.<LI>Вес: не превышает 1,5 кг.</UL><p><span class="addt">||/img/pic/defence/small/US2G.jpg|/img/pic/defence/big/US2G.jpg

# 223|Жилеты сигнальные
 1|Сигнальный жилет 1А|223||149|145|142||norow later1803|| ГОСТ, цвет: <span style="color: #e60">оранжевый</span>|</span><span class="for">Изделие повышенной видимости. Обеспечивает хорошую видимость работающего за счет световозвращающих полос и флуоресцентного цвета ткани жилета.</span></p><UL><LI>Ткань: 100% полиэфир «Оксфорд».<LI>2 светоотражающие полосы шириной 50 мм.<LI>Центральная застежка на липкую ленту <b>Velcro</b> (велькро). Износостойкий кант.<LI>Жилет <b>сертифицирован</b> по европейскому стандарту EN471 и <abbr title='Система стандартов безопасности труда (ССБТ).&#xa;Межгосударственный стандарт ГОСТ 12.4.281-2014&#xa;"Одежда специальная повышенной видимости. Технические требования".'><b>ГОСТ 12.4.281-2014</b></abbr> и относится ко второму классу защиты.</UL><p><span class="addt">||/img/pic/defence/small/jilet-1a-.jpg|/img/pic/defence/big/jilet-1a-.jpg
 0|Сигнальный жилет 1А, размер 52-54, рост 3-4|223|KSM.1A.523|189|183|178||nocart
 0|Сигнальный жилет 1А, размер 56-58, рост 3-4|223|KSM.1A.563|189|183|178||nocart
#1|Сигнальный жилет СТАНДАРТ,       размер XXL |223|J2.2X  |149|145|142||norow|Жилеты сигнальные СТАНДАРТ|, цвет: <span style="color: #e60">оранжевый</span>|</span></p><UL><LI>Ткань: 100% полиэтилен, трикотажное переплетение.<LI>Центральная застежка на липучках.<LI>2 полосы со светоотражающей поверхностью шириной 50 мм.</UL><p><span class="addt">||/img/pic/defence/small/JILET_324s.jpg|/img/pic/defence/big/JILET_324s.jpg
#0|Сигнальный жилет СТАНДАРТ,       размер XL  |223|J2.1X  |149|145|142|
#0|Сигнальный жилет СТАНДАРТ,       размер XXL |223|J2.2X  |149|145|142|
#0|Сигнальный жилет СТАНДАРТ,       размер XXXL|223|J2.3X  |149|145|142|
#1|Сигнальный жилет СТАНДАРТ СЕТКА, размер XXL |223|J.2X   |139|135|132||norow|Жилеты сигнальные СТАНДАРТ СЕТКА|, цвет: <span style="color: #e60">оранжевый</span>|</span></p><UL><LI>Ткань: сетка плотностью 60 г/кв.м.<LI>Центральная застежка на липучках.<LI>2 полосы со светоотражающей поверхностью шириной 50 мм.</UL><p><span class="addt">||/img/pic/defence/small/JILET_325s.jpg|/img/pic/defence/big/JILET_325s.jpg
#0|Сигнальный жилет СТАНДАРТ СЕТКА, размер XL  |223|J.1X   |139|135|132|
#0|Сигнальный жилет СТАНДАРТ СЕТКА, размер XXL |223|J.2X   |139|135|132|
#0|Сигнальный жилет СТАНДАРТ СЕТКА, размер XXXL|223|J.3X   |139|135|132|
#0|Сигнальный жилет тип Т сетка, размер  XL |223|JST-XL |129|122|118|
#0|Сигнальный жилет тип Т сетка, размер  XXL|223|JST-XXL|129|122|118|
#0|Сигнальный жилет тип Т сетка, размер XXXL|223|JST    |129|122|118|
#1|Сигнальный жилет MATRIX, размер  XL|223|89510|169|149||Жилеты сигнальные| MATRIX|Цвета: оражевый, лимонный, неон.||/img/pic/defence/small/JILET SIGNAL.jpg|/img/pic/defence/big/JILET SIGNAL.jpg
#0|Сигнальный жилет MATRIX, размер XXL|223|89512|169|159

# 157|Каска строительная
 1|Каски строительные защитные               |157|RA.W      |338|328|318||norow|| «СОМЗ-55 Favorit Trek RAPID» с храповиком|</span><span class="for">Для защиты головы от механических повреждений (устойчива к боковой деформации), воздействия влаги, брызг металла и переменного/постоянного тока напряжением до <b>1000/1500 В</b></span></p><UL><LI>Ударопрочный корпус из материала <i><b>TermotreK</b></i>, массой <b>240 г</b>.<LI>Каска оснащена козырьком, вентиляционными щелями, водосточным желобком, пазами для крепления противошумных наушников, амортизатором из тканевых лент с креплением к корпусу в 6 точках и подбородочным ремнем.<LI>Оголовок <i><b>«Эталон»</b></i> из тканых материалов оборудован парой обтюраторов – сменным лобно-височным и мягким затылочным.<LI>Внутренняя оснастка <i><b>RAPID</b></i> позволяет плавно подгонять и точно регулировать размер оголовья (<b>51–65 см</b>).<LI>Конструкция предполагает применение дополнительных средств защиты: наушников, лицевых щитков, щитков сварщика, подшлемника.<LI>Температурный режим: <b>от –50 до +50 °С</b>.</UL><p><span class="addt">||/img/pic/defence/small/FavTrRap.jpg|/img/pic/defence/big/FavTrRap.jpg
 0|Каска COM3-55 Favorit Trek RAPID белая    |157|RA.W      |278|272|264||
 0|Каска COM3-55 Favorit Trek RAPID оранжевая|157|RA.O      |278|272|264||
 1|Каска строительная защитная|               157|PH-001-   | 99| 92| 88||norow||, ударопрочный пластик <span class=art>арт. PH-001-WI/OR/RED/BL</span>|Цвета: белый, оранжевый, красный, синий.||/img/pic/defence/small/KASKA STROITELNAJA.jpg|/img/pic/defence/big/KASKA STROITELNAJA.jpg
 0|Каска строительная ударопрочная белая     |157|PH-001-WI | 99| 92| 88||
 0|Каска строительная ударопрочная оранжевая |157|PH-001-OR | 99| 92| 88||
 0|Каска строительная ударопрочная красная   |157|PH-001-RED| 99| 92| 88||
 0|Каска строительная ударопрочная синяя     |157|PH-001-BL | 99| 92| 88||
 1|Подшлемник зимний  под строительную каску |157|C.500     |122|118|114||norow|| <span class=art>арт. C.500</span>|</span><span class="for">Подшлемник с пелериной, регулировка объема при помощи шнура</span></p><UL><LI>Утеплитель: ватин (2 слоя)<LI>Подклад: бязь 100% ХБ<LI>Размер: универсальный</UL><p><span class="addt">||/img/pic/defence/small/podsw.jpg|/img/pic/defence/big/podsw.jpg
 0|Подшлемник зимний  под строительную каску |157|C.500     |122|118|114||
 1|Подшлемник ватный  под строительную каску |157|UNDV      |129|122|116||norow|| <span class=art>арт. UNDV</span>|||/img/pic/defence/small/jpg|/img/pic/defence/big/jpg
 0|Подшлемник ватный  под строительную каску |157|UNDV      |129|122|116||
#1|Каска строительная                        |157|KE-1/2    |385|360|335|||| "ЕВРОПА" с храповым механизмом|Цвета: белый <span class=art>арт. KE-1</span>, оранжевый <span class=art>арт. KE-2</span>.||/img/pic/defence/small/Kaska s hrap.jpg|/img/pic/defence/big/Kaska s hrap.jpg
#1|Подшлемник полушерстяной                  |157|UNDS      |145|138|133|||| под строительную каску <span class=art>арт. UNDS</span>|||/img/pic/defence/small/jpg|/img/pic/defence/big/jpg

# 158|Плащ
 1|Плащ БМ нейлоновый,             |158|MS-    |520|490|470||norow|| прошитые швы|Цвета: синий, желтый, зеленый<br>Размеры: XL, XXL, XXXL||/img/pic/defence/small/PLASH JELTY.jpg|/img/pic/defence/big/PLASH JELTY.jpg
#0|Плащ БМ нейлоновый XL желтый    |158|MSY-1X |575|555|540
 0|Плащ БМ нейлоновый XL зеленый   |158|MSG-1XL|498|488|475
#0|Плащ БМ нейлоновый XL синий     |158|MSB-1XL|575|555|540
#0|Плащ БМ нейлоновый XXL желтый   |158|MSY-2XL|575|555|540
 0|Плащ БМ нейлоновый XXL зеленый  |158|MSG-2XL|498|488|475
#0|Плащ БМ нейлоновый XXL синий    |158|MSB-2XL|575|555|540
 0|Плащ БМ нейлоновый XXXL зеленый |158|MSG-3XL|498|488|475
#0|Плащ БМ нейлоновый XXXL синий   |158|MSB-3XL|575|555|540
 1|Плащ-дождевик                   |158|RG50   | 74| 72| 69||norow|| полиэтиленовый СТАНДАРТ зеленый <span class="art">арт. RG50</span>|</span></p><UL><LI><b>Размер: универсальный (40-60).</b> Легко одевается на верхнюю одежду и не стесняет движений.<LI>Изготовлен из полиэтилена высокого давления толщиной 50 микрон. <b>Вес 120 г.</b><LI>Все швы надежно прошиты. Предназначен для многократного использования.<LI>Застёжка: липучка <b>Velcro</b> 25 мм.</UL><p><span class="addt">||/img/pic/defence/small/plashh-RG50.jpg-|/img/pic/defence/big/plashh-RG50.jpg-
 0|Плащ-дождевик                   |158|RG50   | 74| 72| 69
#1|Плащ, полиэфир с ПВХ покрытием|158|MAC-2XL|480|460|440|||, прошитые швы <span class=art>арт. MAC-2XL / MAC-3XL</span>| Цвет: зеленый.||/img/pic/defence/small/PLASH TRITON.jpg|/img/pic/defence/big/PLASH TRITON.jpg
#1|Плащ БМ|158|MSG-2XL|360|340|330|||, прошитые швы <span class=art>арт. MSG-2XL / MSY-2XL</span>| Цвета: зеленый, желтый.||/img/pic/defence/small/PLASH JELTY.jpg|/img/pic/defence/big/PLASH JELTY.jpg
#1|Плащ нейлоновый с капюшоном|158||440|440|440||| ТРИТОН.|Цвета: зеленый, синий|||/img/pic/defence/big/plas.jpg

# 97|Костюм
1|Костюм сварщика брезентовый|97||890|850|830||norow|| ОП
0|Костюм сварщика, размер 48-50, рост 170-176 см|97|W85706|985|965|945
0|Костюм сварщика, размер 48-50, рост 182-188 см|97|W85828|985|965|945
0|Костюм сварщика, размер 52-54, рост 170-176 см|97|W24706|985|965|945
0|Костюм сварщика, размер 52-54, рост 182-188 см|97|W24828|985|965|945
#1|Костюм сварщика|97|524-828|890|850|830||| брезентовый, 480 г/кв.м <span class=art>арт. 524-828</span>
#1|Костюм для общепроизводственных работ:|97||880||||| куртка и полукомбинезон|Накладные карманы с клапаном, манжеты на пуговице. Ткань смесовая. 50% хлопок, 50% п/э, 210 г/м.кв. Цвет: синий, желтая полоса||/img/pic/defence/big/kos.jpg

# 276|Комбинезон защитный
 1|Комбинезон защитный                  |276|24-9-000|138|133|131|581|norow|Комбинезон защитный из нетканого материала ("спанбонд") с капюшоном| REMOCOLOR, размер&nbsp;XL, белый <span class=art>арт. 24-9-000</span>|</span><span class="for">Для строительных и малярных работ</span></p><UL><LI>Изготовлен из химически стойкого трехслойного 100-мкм полиэтилена.<LI>Все швы герметично запаяны для защиты от брызг жидких химикатов.<LI>Застежка-молния длиной 82 см.<LI>Не стесняет движений и удобен при носке.</UL><p><span class="addt">||/img/pic/defence/small/24-9-000.jpg|/img/pic/defence/big/24-9-000.jpg
 0|Комбинезон защитный REMOCOLOR        |276|24-9-000|138|133|131|581
 1|Комбинезон защитный многоразовый     |276|89532   |215|205|196|581|norow|| ЛЮКС синий, рост&nbsp;172-180&nbsp;см, размер&nbsp;XL&nbsp;(50-52) СИБРТЕХ <span class=art>арт. 89532</span>|</span><span class="for">Для защиты от внешних загрязнений при проведении малярных, лакокрасочных и других строительно-отделочных работ</span></p><UL><LI>Комбинезон защищает от частиц нетоксичной пыли и производственных загрязнений при работах с применением краски, битумов, мастик и пр. Соответствует требованиям <b>ГОСТ 12.4.100-80</b>.<LI>Комбинезон выполнен из нетканого материала <b>«спанбонд»</b>: очень легкий, но прочный, не удерживает излишнее тепло и позволяет коже дышать, поэтому работа в такой спецодежде не вызывает дискомфорта.<LI>Имеются <b>застежка-молния</b> и защитный <b>капюшон</b> с возможностью одновременного использования респиратора и защитных очков для полной экипировки рабочего средствами защиты.<LI>Комбинезон  не образует ворса, изготовлен из «дышащего» материала, выдерживает высокую влажность и перепады температур.<LI>Имеется <a href="/img/pic/defence/big/89532.pdf" target=_blank title="Документ PDF">Руководство по эксплуатации</a>.</UL><p><span class="addt">||/img/pic/defence/small/89532.jpg|/img/pic/defence/big/89532.jpg
 0|Комбинезон защитный многоразовый ЛЮКС|276|89532   |215|205|196|581
#1|Комбинезон защитный от пыли и грязи  |276|4500-   |149|142|138|581|norow|| из нетканого материала <span class=art>арт. 4500-</span>|Цвета: белый, синий.<br>Размеры: XL, XXL||/img/pic/defence/small/combinezon.jpg|/img/pic/defence/big/jpg
#0|Комбинезон защитный от пыли и грязи  |276|4500-   |149|142|138|581

# 290|Наколенники
#1|Наколенники универсальные ЭВА|290|NEVA|145|135|130||Наколенники универсальные| ЭВА <span class=art>арт. NEVA</span>|</span></p><UL><LI>Наколенники из материала ЭВА представляют собой защитный элемент, состоящий из собственно наколенника и стропы, при помощи которой наколенник закрепляется на ноге.<LI>Вес одной пары наколенников ЭВА - не более 300 граммов.</UL><p><span class="addt">||/img/pic/defence/small/n_eva.jpg|/img/pic/defence/big/n_eva.jpg
#1|Наколенники защитные MATRIX       |290|89410   |345|330|310||norow|Наколенники защитные| MATRIX <span class=art>арт. 89410</span>|Наколенники из натуральной ткани с эластичными волокнами, усиленные наколенными накладками из ударопрочной пластмассы. Изнутри смягчены поролоновыми прокладками. ||/img/pic/defence/small/n_89410.jpg|/img/pic/defence/big/89410.jpg
#0|Наколенники защитные MATRIX       |290|89410   |345|330|310
#1|Наколенники защитные              |290|89411   |196|192|185||norow|| пенополиэтиленовые СИБРТЕХ <span class=art>арт. 89411</span>|</span><span class="for">Предназначены для снятия нагрузки с коленного сустава при выполнении различных работ.</span></p><UL><LI>Наколенники изготовлены из износостойкого и амортизирующего пенополиэтилена. Надежно фиксируются на ногах с помощью широких эластичных лент-липучек. Рельефная форма обеспечивает устойчивость на рабочей поверхности.<LI>Могут быть использованы как вставки в защитную одежду.<LI>Негигроскопичны. Легко моются. Удерживают тепло.</UL><p><span class="addt">||/img/pic/defence/small/89411.jpg|/img/pic/defence/big/89411.jpg
#0|Наколенники защитные СИБРТЕХ      |290|89411   |196|192|185
 1|Наколенники защитные              |290|        |196|192|185||norow|| пенополиэтиленовые|</span><span class="for">Предназначены для снятия нагрузки с коленного сустава при выполнении различных работ.</span></p><UL><LI>Наколенники изготовлены из износостойкого и амортизирующего пенополиэтилена. Надежно фиксируются на ногах с помощью широких эластичных лент-липучек. Рельефная форма обеспечивает устойчивость на рабочей поверхности.<LI>Могут быть использованы как вставки в защитную одежду.<LI>Негигроскопичны. Легко моются. Удерживают тепло.</UL><p><span class="addt">||/img/pic/defence/small/89411.jpg|/img/pic/defence/big/89411.jpg
 0|Наколенники, вспененный п/э Россия|290|22-4-010|189|182|179

# 95|Сапоги Ботинки
