## 14,cat14|Гвозди строительные 51+41+14+18 К-во в 1 кг + 3ц A Е
#1|Гвоздь строительный&numsp; 40 х 2.0 мм, ГОСТ 4028-80|14|5|кг|         |    | 77,00| 69.00|89,00||norow|Гвозди строительные| ГОСТ 4028-80|Отпускаются упаковками 5 и 25 кг.<br>Количества гвоздей в 1 кг указаны справочно и в пределах предусмотренных стандартами допусков могут отличаться от приведённых в таблице до 10% в любую сторону.<br><b>Цена за 1 кг. Цена не окончательна. При больших объемах она может быть существенно снижена.</b>||/img/pic/krep/small/Gvozdi stroitelnye.jpg|/img/pic/krep/big/Gvozdi stroitelnye.jpg
 1|Гвоздь строительный&numsp; 40 х 2.0 мм, ГОСТ 4028-80|14|5|кг|         |    | 77,00| 69.00|89,00||norow|Гвозди строительные| ГОСТ 4028-80|Отпускаются упаковками 5 и 25 кг.<br>Количества гвоздей в 1 кг указаны справочно и в пределах предусмотренных стандартами допусков могут отличаться от приведённых в таблице до 10% в любую сторону.<br><b>Цена за 1 кг. Цена не окончательна. При больших объемах она может быть существенно снижена.</b>||/img/pic/krep/small/gvozdi_stroitelnye.jpg|/img/pic/krep/big/gvozdi_stroitelnye.jpg
#1|Гвоздь строительный ГОСТ 4028-80 1.2 х 16 мм, уп. 5 кг|14|5|кг|G05016 |6800|105.00|100.00| 98.00||norow|Гвозди строительные| ГОСТ 4028-80|Отпускаются упаковками от 5 до 25 кг.<br><br><b>Цена за 1 кг.</b>||/img/pic/krep/small/Gvozdi stroitelnye.jpg|/img/pic/krep/big/Gvozdi stroitelnye.jpg
#0|Гвоздь строительный ГОСТ 4028-80 1.2 х 16 мм, уп. 5 кг|14|5|кг|G05016 |6800|105.00|100.00| 98.00|
#0|Гвоздь строительный ГОСТ 4028-80 1.2 х 20 мм, уп. 5 кг|14|5|кг|G05020 |5400|102.00| 98.00| 95.00|
#0|Гвоздь строительный ГОСТ 4028-80 1.4 х 25 мм, уп. 5 кг|14|5|кг|G05025 |3300| 98.00| 95.00| 93.00|
#0|Гвоздь строительный ГОСТ 4028-80 1.6 х 25 мм, уп. 5 кг|14|5|кг|G05025a|2500| 93.00| 91.00| 87.00|
#0|Гвоздь строительный ГОСТ 4028-80 1.8 х 32 мм, уп. 5 кг|14|5|кг|G05032 |1560| 92.00| 88.00| 85.00|

#1|Гвоздь строительный ГОСТ 4028-80 1.2 х 16 мм; уп. 5 кг, 25 кг|14||6800|98,00|93,00|90,00|| |Гвозди строительные| ГОСТ 4028-80|Цена за 1 кг||/img/pic/krep/small/Gvozdi stroitelnye.jpg|/img/pic/krep/big/Gvozdi stroitelnye.jpg
#0|Гвоздь строительный ГОСТ 4028-80 1.2 х 20 мм; уп. 5 кг, 25 кг|14||5400|92,00|88,00|84,00|
#0|Гвоздь строительный ГОСТ 4028-80 1.4 х 25 мм; уп. 5 кг, 25 кг|14||3300|87,00|83,00|80,00|
#0|Гвоздь строительный ГОСТ 4028-80 1.6 х 25 мм; уп. 5 кг, 25 кг|14||2500|87,00|83,00|80,00|
#0|Гвоздь строительный ГОСТ 4028-80 1.8 х 32 мм; уп. 5 кг, 25 кг|14||1560|67,00|64,00|64,00|
#0|Гвоздь строительный ГОСТ 4028-80 2.0 х 40 мм; уп. 5 кг, 25 кг|14||1050|64,00|61,00|58,00||blkt
#0|Гвоздь строительный ГОСТ 4028-80 2.5 х 50 мм; уп. 5 кг, 25 кг|14|| 530|47,00|45,00|42,00||red
#0|Гвоздь строительный ГОСТ 4028-80 2.5 х 60 мм; уп. 5 кг, 25 кг|14|| 450|47,00|45,00|42,00|
#0|Гвоздь строительный ГОСТ 4028-80 3.0 х 70 мм; уп. 5 кг, 25 кг|14|| 270|45,00|43,00|41,00||red
#0|Гвоздь строительный ГОСТ 4028-80 3.0 х 80 мм; уп. 5 кг, 25 кг|14|| 230|45,00|43,00|41,00||red
#0|Гвоздь строительный ГОСТ 4028-80 3.5 х 90 мм; уп. 5 кг, 25 кг|14|| 150|45,00|43,00|41,00|
#0|Гвоздь строительный ГОСТ 4028-80 4.0х100мм;   уп. 5 кг, 25 кг|14|| 105|44,00|42,00|40,00||blkt red
#0|Гвоздь строительный ГОСТ 4028-80 4.0х120мм;   уп. 5 кг, 25 кг|14||  86|44,00|42,00|40,00||red
#0|Гвоздь строительный ГОСТ 4028-80 5.0х150мм;  уп. 5, 10, 25 кг|14||  45|44,00|42,00|40,00||red
#0|Гвоздь строительный ГОСТ 4028-80 6.0х200мм;  уп. 5, 10, 25 кг|14||  23|44,00|42,00|40,00||red
#1|Гвоздь строительный DIN 1151 7,6 х 250 мм; уп. 5, 10, 15 кг  |14||    |75,00|73,00|68,00|| |Гвозди строительные| DIN 1151|Цена за 1 кг.||/img/pic/krep/small/Gvozdi stroitelnye.jpg|/img/pic/krep/big/Gvozdi stroitelnye.jpg
#0|Гвоздь строительный DIN 1151 7,6 х 260 мм; уп. 5           кг|14||    |75,00|73,00|68,00|
#0|Гвоздь строительный DIN 1151 8,0 х 250 мм; уп. 5 кг, 10    кг|14||    |75,00|73,00|68,00|
#0|Гвоздь строительный DIN 1151 8,0 х 300 мм; уп. 5           кг|14||    |75,00|73,00|68,00|
#0|Гвоздь строительный DIN 1151 8,8 х 300 мм; уп. 5 кг, 20    кг|14||    |75,00|73,00|68,00|
#0|Гвоздь строительный ГОСТ 4028-80 6.0х200мм в упаковках 5, 10, 25 кг|14||  23|44,00|42,00|40,00||red

# Когда у тебя в руках молоток, все проблемы начинают выглядеть, как гвозди

#0|Гвоздь строительный ГОСТ 4028-80 7.6 х 250мм; уп. 5 кг, 10 кг |14|  11||57.50|57.50|57.50
#0|Гвоздь строительный ГОСТ 4028-80 8.8 х 300мм; уп. 5 кг, 10 кг |14|   7||57.50|57.50|57.50

## 15,cat15|Специальные гвозди
#1|Гвоздь ершеный оцинкованный 2.50 х 50 мм, уп. 5 кг         |15|5|кг|GE.286|480|128|124|121||norow|Гвозди ершеные с плоской головкой оцинкованные|, чертеж 7811-7120|Отпускаются упаковками по 5 кг.<br><br><b>Цена за 1 кг.</b>||/img/pic/krep/small/ersh2.jpg|/img/pic/krep/big/jpg
#0|Гвоздь ершеный оцинкованный 2.80 х 60 мм, уп. 5 кг         |15|5|кг|GE.286|320|128|124|121||
#0|Гвоздь ершеный оцинкованный 3.10 х 80 мм, уп. 5 кг         |15|5|кг|GE.318|230|122|118|115||
#0|Гвоздь ершеный оцинкованный 4.20 х 50 мм, уп. 5 кг         |15|5|кг|GE.425|200|128|124|121||
