## 229,cat229|ƒюбели распорные с шипами ("Єж")
1|ƒюбели распорные с шипами ("Єж")  6 х 25   |229|1|тыс. шт.|      |-|-|-||norow|ƒюбели распорные с шипами| (&laquo;Єж&raquo;)|<br><b>÷ена за 1000 шт.</b>||/img/pic/krep/small/DUBEL EZH.jpg|/img/pic/krep/big/DUBEL EZH.jpg
0|ƒюбели распорные с шипами ("Єж")  6 х 25 мм|229|1|тыс. шт.|06025-|-|-|-
0|ƒюбели распорные с шипами ("Єж")  6 х 40 мм|229|1|тыс. шт.|06040-|-|-|-
0|ƒюбели распорные с шипами ("Єж")  6 х 60 мм|229|1|тыс. шт.|06060-|-|-|-
0|ƒюбели распорные с шипами ("Єж")  8 х 40 мм|229|1|тыс. шт.|08040-|-|-|-||blkt2
0|ƒюбели распорные с шипами ("Єж")  8 х 60 мм|229|1|тыс. шт.|08060-|-|-|-
0|ƒюбели распорные с шипами ("Єж")  8 х 80 мм|229|1|тыс. шт.|08080-|-|-|-
0|ƒюбели распорные с шипами ("Єж") 10х100  мм|229|1|тыс. шт.|10100-|-|-|-||blkt2

# 20,cat20|ƒюбели с шурупом дл€ быстрого монтажа
#0|ƒюбель с шурупом дл€ быстрого монтажа 8 х140 мм|20|G08140-100 | 100| 560,00| 540,00| 520,00|
#0|ƒюбель с шурупом дл€ быстрого монтажа 8 х140 мм|20|G08140-250 | 100|1400,00|1350,00|1300,00|
#0|ƒюбель с шурупом дл€ быстрого монтажа 10х100 мм|20|G10100-025 | 025| 158,00| 152,00| 148,00||blkt
#0|ƒюбель с шурупом дл€ быстрого монтажа 10х100 мм|20|G10100-050 | 050| 316,00| 304,00| 296,00|
# 229,cat229|ƒюбель распорный с шипами ("Єж")
#|ƒюбель распорный с шипами ("Єж")  6 х 25                       |229|  1|тыс. шт.|          | 217,80|188,00|182,00||norow|ƒюбели распорные с шипами| (&laquo;Єж&raquo;)|<br><b>÷ена за 1000 шт.</b>||/img/pic/krep/small/DUBEL EZH.jpg|/img/pic/krep/big/DUBEL EZH.jpg
#|ƒюбель распорный с шипами ("Єж")  6 х 25 мм, уп.       1000 шт.|229|  1|тыс. шт.|06025-1000| 170,00|165,00|160,00
#|ƒюбель распорный с шипами ("Єж")  6 х 40 мм, уп. &numsp;500 шт.|229|0.5|тыс. шт.|06040-0500| 208,00|198,00|192,00||blkt2
#|ƒюбель распорный с шипами ("Єж")  6 х 40 мм, уп.       1000 шт.|229|  1|тыс. шт.|06040-1000| 208,00|198,00|192,00
#|ƒюбель распорный с шипами ("Єж")  6 х 40 мм, уп.       4000 шт.|229|  1|тыс. шт.|06040-4000| 208,00|198,00|192,00
#|ƒюбель распорный с шипами ("Єж")  6 х 60 мм, уп. &numsp;500 шт.|229|0.5|тыс. шт.|06060-0500| 270,00|255,00|245,00||blkt2
#|ƒюбель распорный с шипами ("Єж")  6 х 60 мм, уп.       1000 шт.|229|  1|тыс. шт.|06060-1000| 270,00|255,00|245,00
#|ƒюбель распорный с шипами ("Єж")  6 х 60 мм, уп.       2500 шт.|229|2.5|тыс. шт.|06060-2500| 270,00|255,00|245,00
#|ƒюбель распорный с шипами ("Єж")  8 х 40 мм, уп. &numsp;500 шт.|229|0.5|тыс. шт.|08040-0500| 260,00|246,00|236,00||blkt
#|ƒюбель распорный с шипами ("Єж")  8 х 40 мм, уп.       1000 шт.|229|  1|тыс. шт.|08040-1000| 260,00|246,00|236,00
#|ƒюбель распорный с шипами ("Єж")  8 х 60 мм, уп. &numsp;500 шт.|229|0.5|тыс. шт.|08060-0500| 490,00|476,00|464,00||blkt2
#|ƒюбель распорный с шипами ("Єж")  8 х 80 мм, уп. &numsp;500 шт.|229|0.5|тыс. шт.|08080-0500| 640,00|620,00|596,00||blkt2
#|ƒюбель распорный с шипами ("Єж") 10х100 мм,  уп.        250 шт.|229|.25|тыс. шт.|10100-0250| 920,00|880,00|840,00||blkt2

#1|ƒюбель с шурупом дл€ быстрого монтажа 6 х 40 мм|20|G06040-100 | 100|  69,30|  59|  54||norow|ƒюбель с шурупом дл€ быстрого монтажа| (ƒюбель-гвоздь)|</span></p></span></p><UL><LI>стальной шуруп с потайным бортиком<LI>пластмассова€ оболочка</UL><p><span class="addt"><b>÷ена за упаковку.</b>||/img/pic/krep/small/Dubel gv BYSTRY MONTAZ Potajnoy bortic.jpg|/img/pic/krep/big/Dubel gv BYSTRY MONTAZ Potajnoy bortic.jpg

#1|ƒюбель распорный с шипами (Єж) 6 х 25 мм|229|06025-1000|1000| 217,80|188,00|182,00||norow|ƒюбели распорные с шипами| (&laquo;Єж&raquo;)|</span></p></span></p><UL><LI>пластмассовый дюбель</UL><p><span class="addt">÷ена за 1000 шт.||/img/pic/krep/small/DUBEL EZH.jpg|/img/pic/krep/big/DUBEL EZH.jpg
#0|ƒюбель распорный с шипами (Єж) 6 х 30 мм|229|06030-1000|1000|129.00|129.00|129.00
