# 444,cat444|Саморезы кровельные
 0|Саморез с наконечником сверло 4.2 х 19 мм        |19|||PS.S.019 |488|325|245|-
 0|Саморез с наконечником сверло 4.2 х 25 мм        |19|||PS.S.025 |410|325|245|-
 0|Саморез с наконечником сверло 4.2 х 32 мм        |19|||PS.S.032 |350|325|245|-
 0|Саморез с наконечником сверло 4.2 х 38 мм        |19|||PS.S.038 |312|325|245|-
 0|Саморез с наконечником сверло 4.2 х 41 мм        |19|||PS.S.041 |290|325|245|-
#0|Саморез с наконечником сверло 4.2 х 45 мм        |19|||SS.45    |   |295|275|-
 0|Саморез с наконечником сверло 4.2 х 51 мм        |19|||PS.S.051 |230|325|245|-
 0|Саморез с наконечником сверло 4.2 х 57 мм        |19|||PS.S.057 |200|325|245|-
#0|Саморез с наконечником сверло 4.2 х 64 мм        |19|||SS.64    |   |  -|  -|-
 0|Саморез с наконечником сверло 4.2 х 75 мм        |19|||PS.S.075 |160|325|245|-
 1|Саморез с полуцилиндрической головкой Phillips №2|19|||OO.5     |-  |  -|  -|-||norow|| ("Клоп"), наконечник - сверло или острие|<br>Цена за <b>1000 шт</b>.||/img/pic/krep/small/bug.jpg|/img/pic/krep/big/jpg
 0|Саморез 3.5 х 11 мм, острие, оксидированный      |19|||OO.5     |-  |  -|  -|-
 0|Саморез 3.5 х 11 мм, острие, оцинкованный        |19|||OZ.5     |-  |  -|  -|-|
 0|Саморез 3.9 х 11 мм, острие, оксидированный      |19|||OO.9     |-  |  -|  -|-||blkt2
 0|Саморез 3.5 х 11 мм, сверло, оксидированный      |19|||SO.5     |-  |  -|  -|-||blkt
 0|Саморез 3.5 х 11 мм, сверло, оцинкованный        |19|||SZ.5     |-  |  -|  -|-|
 0|Саморез 3.9 х 11 мм, сверло, оксидированный      |19|||SO.9     |-  |  -|  -|-||blkt2
 0|Саморез 3.9 х 11 мм, сверло, оцинкованный        |19|||SZ.9     |-  |  -|  -|-|

#«забитый шуруп держит лучше чем закрученный гвоздь»

#1|Саморезы для крепления листового металла         |19|||SO.13    |1.40 кг|  -|  -|-||norow||<br> с прессшайбой (полусфера), оцинкованные,<br> наконечник - острие|Цена за <b>1 кг</b>.<br>В таблице указан приблизительный вес 1000 шт.||/img/pic/krep/small/samorez_ostrie.jpg|/img/pic/krep/big/samorez_ostrie.jpg
#0|Саморез с наконечником острие 4.2 х 13 мм        |19|||PS.0.013 |1.31 кг|309|235|-
#0|Саморез с наконечником острие 4.2 х 14 мм        |19|||SO.14    |1.52 кг|  -|  -|-
#0|Саморез с наконечником острие 4.2 х 16 мм        |19|||PS.0.016 |1.47 кг|309|235|-
#0|Саморез с наконечником острие 4.2 х 19 мм        |19|||PS.0.019 |1.64 кг|309|235|-
#0|Саморез с наконечником острие 4.2 х 25 мм        |19|||PS.0.025 |1.97 кг|309|235|-
#0|Саморез с наконечником острие 4.2 х 32 мм        |19|||PS.0.032 |2.36 кг|309|235|-
#0|Саморез с наконечником острие 4.2 х 38 мм        |19|||PS.0.038 |2.68 кг|309|235|-
#0|Саморез с наконечником острие 4.2 х 41 мм        |19|||PS.0.041 |2.84 кг|309|235|-
#0|Саморез с наконечником острие 4.2 х 51 мм        |19|||PS.0.051 |3.44 кг|309|235|-
#0|Саморез с наконечником острие 4.2 х 57 мм        |19|||PS.0.057 |3.77 кг|309|235|-
#0|Саморез с наконечником острие 4.2 х 75 мм        |19|||PS.0.075 |4.78 кг|309|235|-
#1|Саморезы для крепления листового металла         |19|||SS.13    |1.40 кг|  -|  -|-||norow||<br> с прессшайбой (полусфера), оцинкованные,<br>наконечник - сверло|Цена за <b>1 кг</b>.||/img/pic/krep/small/SAMOREZY SVERLO.jpg|/img/pic/krep/big/SAMOREZY SVERLO.jpg
#1|Саморезы для крепления листового металла         |19|||SS.13    |1.40 кг|  -|  -|-||norow||<br> с прессшайбой (полусфера), оцинкованные,<br>наконечник - сверло|Цена за <b>1 кг</b>.<br>В таблице указан приблизительный вес 1000 шт.||/img/pic/krep/small/samorez_sverlo.jpg|/img/pic/krep/big/samorez_sverlo.jpg
#0|Саморез с наконечником сверло 4.2 х 13 мм        |19|||PS.S.013 |1.35 кг|325|245|-
#0|Саморез с наконечником сверло 4.2 х 14 мм        |19|||SS.14    |1.79 кг|295|275|-
#0|Саморез с наконечником сверло 4.2 х 16 мм        |19|||PS.S.016 |1.52 кг|325|245|-
#0|Саморез с наконечником сверло 4.2 х 19 мм        |19|||PS.S.019 |1.88 кг|325|245|-
#0|Саморез с наконечником сверло 4.2 х 25 мм        |19|||PS.S.025 |2.26 кг|325|245|-
#0|Саморез с наконечником сверло 4.2 х 32 мм        |19|||PS.S.032 |2.69 кг|325|245|-
#0|Саморез с наконечником сверло 4.2 х 38 мм        |19|||PS.S.038 |3.09 кг|325|245|-
#0|Саморез с наконечником сверло 4.2 х 41 мм        |19|||PS.S.041 |3.29 кг|325|245|-
#0|Саморез с наконечником сверло 4.2 х 45 мм        |19|||SS.45    |3.40 кг|295|275|-
#0|Саморез с наконечником сверло 4.2 х 51 мм        |19|||PS.S.051 |3.80 кг|325|245|-
#0|Саморез с наконечником сверло 4.2 х 57 мм        |19|||PS.S.057 |4.21 кг|325|245|-
