1|Прокладка БПО|297|PBPO|5.90|5.60|5.40||Прокладка для редукторов| БПО <span class=art>арт. PBPO</span>|Прокладка к редукторам БПО используется для обеспечения герметичного подключения редуктора или регулятора к вентилю пропанового баллона.||/img/pic/eld/small/PBPO.jpg|/img/pic/eld/big/jpg
1|Прокладка БКО|297|PBKO|5.90|5.60|5.40||Прокладка для редукторов| БКО <span class=art>арт. PBKO</span>|Прокладка к редукторам БКО используется для обеспечения герметичного подключения редуктора или регулятора к вентилю любого баллона, за исключением пропановых и ацетиленовых.||/img/pic/eld/small/PBKO.jpg|/img/pic/eld/big/jpg

1|Держатель электродов Н026В|217|SD02|285|265|255||Держатель электродов| Н026В, медь, 500А <span class=art>арт. SD02</span>|Держатель электродов предназначен для зажима и удержания электродов. Пластмассовые ручки выполняют роль изолятора.||/img/pic/eld/small/91455.jpg|/img/pic/eld/big/jpg
1|Зажим "масса" для сварочного аппарата Н-031-В|217|SMA01|195|185|178||Зажим "масса" для сварочного аппарата| Н-031-В, медь, 500А <span class=art>арт. SMA01</span>|||/img/pic/eld/small/mass.jpg|/img/pic/eld/big/jpg
1|Кабельный силовой разъем (вставка) СКР-25, ток до 250 А|217|VS25|195|185|178||Кабельный силовой разъем| (вставка)|Cоединители кабельные разъемные для сварки с фиксирующим устройством предназначены для надежного и безопасного присоединения кабелей друг с другом или к источнику питания.<br><b>Цена за пару.</b>||/img/pic/eld/small/VS25-31.jpg|/img/pic/eld/big/VS25-31.jpg
0|Кабельный силовой разъем (вставка) СКР-31, ток до 400 А|217|VS31|285|270|260
1|Комплект сварочных проводов|217|KSP1|1180|1140|1090||Комплект сварочных проводов| № 1 <span class=art>арт. KSP1</span>|<UL><LI>Кабели КГ-16, 2 шт. по 3 м<LI>Кабельный силовой разъем (вставка) СКР-25<LI>Электрододержатель<LI>Клемма заземления ("масса")</UL>||/img/pic/eld/small/KSP1-KSP2.jpg|/img/pic/eld/big/KSP1-KSP2.jpg
1|Комплект сварочных проводов|217|KSP2|1595|1540|1490||Комплект сварочных проводов| № 2 <span class=art>арт. KSP2</span>|<UL><LI>Кабели КГ-25, 2 шт. по 3 м<LI>Кабельный силовой разъем (вставка) СКР-31<LI>Электрододержатель<LI>Клемма заземления ("масса")</UL>||/img/pic/eld/small/KSP1-KSP2.jpg|/img/pic/eld/big/KSP1-KSP2.jpg
#1|Держатель электродов 500 А SiB|217|91455|99.00||94||Держатель электродов 500 А| SiB <span class=art>арт. 91455</span>|Держатель электродов предназначен для зажима и удержания электродов. Пластмассовые ручки выполняют роль изолятора.||/img/pic/eld/small/91455.jpg|/img/pic/eld/big/jpg

#Сварочная проволока
1|Проволока сварочная 0,8 мм D200, упак. 5 кг |356|SP0805| 475| 165| 160|norow|Проволока сварочная омедненная ASF-51 ER70S-6|Омедненная стальная сварочная проволока с рядной намоткой для полуавтоматической сварки, аналог отечественной провлоки Св08Г2С.<br>Цена за 1 упаковку.||/img/pic/eld/small/ER70S-6.jpg|/img/pic/eld/big/jpg
0|Проволока сварочная 0,8 мм D200, упак. 5 кг |356|SP0805| 475| 460| 450|
0|Проволока сварочная 1,0 мм D300, упак. 15 кг|356|SP1015|1295|1270|1250|
0|Проволока сварочная 1,2 мм D270, упак. 15 кг|356|SP1215|1230|1210|1195|
